rank,character,read_value,candidates,correct
1,Ganondorf,153.0,{'153': 1},
2,Snake,14.0,{'14': 3},
3,King K Rool,12.0,{'12': 3},
4,Zelda,11.0,{'11': 2},
5,Bowser Jr,9.0,{'9': 2},
6,Captain Falcon,8.0,{'8': 3},
6,Little Mac,8.0,"{'8': 1, '38': 1}",
8,Mewtwo,5.0,{'5': 2},
8,ROB,5.0,{'5': 1},
8,Incineroar,5.0,"{'3': 2, '5': 1}",
11,Donkey Kong,4.0,{'4': 3},
11,Link,4.0,{'4': 3},
11,Bowser,4.0,{'4': 3},
14,Samus,3.0,{'3': 3},
14,Ness,3.0,{'3': 6},
14,Falco,3.0,{'3': 3},
14,Ike,3.0,{'3': 3},
18,Luigi,2.0,{'2': 3},
18,Diddy Kong,2.0,{'2': 3},
18,Lucas,2.0,{'2': 3},
18,King Dedede,2.0,{'2': 3},
18,Toon Link,2.0,{'2': 3},
18,Kazuya,2.0,{'2': 3},
24,Dark Samus,1.0,{'1': 3},
24,Jigglypuff,1.0,{'1': 3},
24,Daisy,1.0,{'1': 3},
24,Dr Mario,1.0,{'1': 3},
24,Mr Game and Watch,1.0,{'1': 3},
24,Zero Suit Samus,1.0,{'1': 3},
24,Wario,1.0,{'1': 3},
24,Sonic,1.0,{'1': 3},
24,Wii Fit Trainer,1.0,{'1': 3},
24,Palutena,1.0,{'1': 3},
24,Pac-Man,1.0,{'1': 3},
24,Robin,1.0,{'1': 3},
24,Ken,1.0,{'1': 3},
24,Bayonetta,1.0,{'1': 3},
24,Ridley,1.0,{'1': 3},
24,Simon,1.0,{'1': 3},
24,Byleth,1.0,{'1': 3},
24,Sephiroth,1.0,{'1': 3},
42,Mario,0.0,{'0': 3},
42,Yoshi,0.0,{'0': 1},
42,Kirby,0.0,{'0': 3},
42,Fox,0.0,{'0': 1},
42,Pikachu,0.0,{'0': 2},
42,Peach,0.0,{'0': 1},
42,Ice Climbers,0.0,{'0': 3},
42,Sheik,0.0,{'0': 2},
42,Pichu,0.0,{'0': 2},
42,Marth,0.0,{'0': 4},
42,Lucina,0.0,{'0': 1},
42,Young Link,0.0,{'0': 1},
42,Roy,0.0,"{'0': 1, '4': 1}",
42,Chrom,0.0,{'0': 2},
42,Wolf,0.0,{'0': 4},
42,Pit,0.0,{'0': 1},
42,Dark Pit,0.0,{'0': 1},
42,Pokemon Trainer,0.0,{'0': 3},
42,Olimar,0.0,{'0': 1},
42,Lucario,0.0,{'0': 2},
42,Villager,0.0,{'0': 3},
42,Mega Man,0.0,{'0': 3},
42,Rosalina and Luma,0.0,{'0': 3},
42,Greninja,0.0,{'0': 3},
42,Shulk,0.0,{'0': 1},
42,Duck Hunt,0.0,{'0': 1},
42,Ryu,0.0,{'0': 2},
42,Cloud,0.0,{'0': 1},
42,Corrin,0.0,{'0': 1},
42,Inkling,0.0,{'0': 2},
42,Richter,0.0,{'0': 2},
42,Isabelle,0.0,{'0': 2},
42,Piranha Plant,0.0,{'0': 2},
42,Joker,0.0,{'0': 1},
42,Hero,0.0,{'0': 2},
42,Banjo and Kazooie,0.0,{'0': 2},
42,Terry,0.0,{'0': 3},
42,Min Min,0.0,{'0': 4},
42,Steve,0.0,{'0': 1},
42,Pyra-Mythra,0.0,{'0': 1},
42,Sora,0.0,{'0': 3},
42,Mii Brawler,0.0,{'0': 2},
42,Mii Swordsman,0.0,{'0': 1},
42,Mii Gunner,0.0,{'0': 2},
