rank,character,read_value,candidates,correct
1,Bowser,340.0,{'340': 3},
2,Toon Link,304.0,{'304': 3},
3,Captain Falcon,266.0,{'266': 3},
4,Snake,265.0,{'265': 3},
4,King K Rool,265.0,{'265': 3},
6,Little Mac,264.0,{'264': 3},
7,King Dedede,260.0,{'260': 3},
8,Incineroar,257.0,{'257': 6},
9,Ryu,255.0,{'255': 3},
10,ROB,247.0,{'247': 3},
11,Ganondorf,246.0,{'246': 3},
12,Young Link,242.0,{'242': 3},
13,Zelda,239.0,{'239': 3},
13,Ken,239.0,{'239': 3},
15,Pikachu,232.0,{'232': 3},
16,Richter,230.0,{'230': 3},
17,Donkey Kong,229.0,{'229': 3},
17,Mii Gunner,229.0,{'229': 3},
19,Luigi,219.0,{'219': 3},
19,Mewtwo,219.0,{'219': 3},
19,Wolf,219.0,"{'219': 3, '149': 9}",
22,Diddy Kong,217.0,{'217': 3},
23,Ridley,216.0,{'216': 3},
24,Wii Fit Trainer,215.0,{'215': 3},
25,Dr Mario,214.0,{'214': 3},
26,Samus,212.0,{'212': 3},
26,Lucario,212.0,"{'2': 2, '212': 1}",
28,Hero,210.0,{'210': 3},
28,Steve,210.0,{'210': 3},
30,Ness,208.0,{'208': 6},
30,Falco,208.0,{'208': 3},
30,Banjo and Kazooie,208.0,{'208': 3},
30,Kazuya,208.0,{'208': 3},
34,Link,207.0,{'207': 3},
34,Villager,207.0,{'207': 3},
34,Sora,207.0,{'207': 3},
37,Bowser Jr,203.0,{'203': 3},
37,Piranha Plant,203.0,{'203': 3},
39,Daisy,202.0,{'202': 3},
40,Mario,201.0,{'201': 3},
41,Pac-Man,199.0,{'199': 3},
42,Mr Game and Watch,198.0,{'198': 3},
42,Olimar,198.0,{'198': 3},
44,Yoshi,197.0,{'197': 3},
44,Roy,197.0,{'197': 3},
46,Byleth,196.0,{'196': 3},
47,Palutena,194.0,{'194': 3},
48,Inkling,193.0,{'193': 3},
49,Dark Samus,189.0,{'189': 3},
50,Terry,187.0,{'187': 3},
51,Rosalina and Luma,185.0,{'185': 3},
52,Pit,184.0,{'184': 6},
52,Robin,184.0,{'184': 3},
54,Kirby,183.0,{'183': 3},
54,Cloud,183.0,{'183': 3},
54,Isabelle,183.0,{'183': 3},
57,Fox,181.0,{'181': 3},
58,Dark Pit,179.0,{'179': 3},
59,Peach,178.0,{'178': 3},
60,Sheik,177.0,"{'177': 2, '7': 1}",
60,Duck Hunt,177.0,"{'177': 2, '77': 1}",
62,Sephiroth,176.0,{'176': 3},
63,Sonic,175.0,{'175': 3},
63,Greninja,175.0,{'175': 3},
65,Pokemon Trainer,173.0,{'173': 3},
66,Mega Man,172.0,{'172': 3},
67,Marth,168.0,{'168': 3},
67,Ike,168.0,{'168': 3},
69,Lucas,165.0,{'165': 3},
69,Bayonetta,165.0,{'165': 3},
71,Mii Swordsman,163.0,{'163': 3},
72,Simon,162.0,{'162': 3},
73,Ice Climbers,158.0,{'158': 3},
73,Shulk,158.0,{'158': 3},
75,Lucina,157.0,"{'157': 2, '187': 1}",
76,Pichu,156.0,{'156': 3},
77,Jigglypuff,155.0,{'155': 3},
78,Zero Suit Samus,145.0,{'145': 6},
79,Chrom,138.0,{'138': 6},
79,Pyra-Mythra,138.0,{'138': 3},
81,Mii Brawler,135.0,{'135': 3},
82,Joker,130.0,{'130': 3},
83,Min Min,124.0,{'124': 3},
84,Corrin,121.0,{'121': 3},
