rank,character,read_value,candidates,correct
1,Zelda,6128.0,{'6128': 3},
2,Ganondorf,3825.0,{'3825': 3},
3,Luigi,3315.0,"{'3315': 2, '33215': 1}",
4,Toon Link,2004.0,{'2004': 3},
5,Little Mac,1858.0,{'1858': 3},
6,King K Rool,1818.0,{'1818': 3},
7,Snake,1649.0,{'1649': 3},
8,Captain Falcon,1533.0,{'1533': 3},
9,ROB,1532.0,{'1532': 3},
10,Bowser,1321.0,"{'1321': 2, '13221': 1}",
11,Donkey Kong,1057.0,{'1057': 3},
12,King Dedede,800.0,{'800': 3},
13,Incineroar,607.0,{'607': 3},
14,Richter,532.0,"{'32': 2, '532': 1}",
15,Sora,522.0,{'522': 3},
16,Steve,515.0,{'515': 3},
17,Mewtwo,510.0,{'510': 3},
18,Inkling,451.0,{'451': 3},
19,Diddy Kong,443.0,{'443': 3},
20,Samus,433.0,{'433': 3},
21,Hero,349.0,{'349': 3},
22,Dr Mario,310.0,{'310': 3},
23,Falco,253.0,{'253': 6},
24,Pac-Man,231.0,{'231': 3},
25,Wario,214.0,{'214': 3},
26,Ryu,148.0,"{'148': 2, '1248': 1}",
27,Fox,147.0,{'147': 3},
28,Bowser Jr,146.0,{'146': 3},
29,Jigglypuff,143.0,{'143': 3},
30,Pikachu,142.0,{'142': 3},
31,Villager,139.0,{'139': 3},
32,Sheik,137.0,{'137': 3},
33,Lucas,128.0,{'128': 3},
33,Kirby,128.0,{'128': 3},
35,Byleth,127.0,{'127': 3},
36,Pit,122.0,{'122': 3},
37,Wii Fit Trainer,115.0,{'115': 3},
38,Kazuya,114.0,{'114': 3},
39,Greninja,113.0,{'113': 3},
40,Ken,108.0,{'108': 3},
41,Link,105.0,"{'105': 2, '1205': 1}",
42,Mega Man,56.0,{'56': 3},
43,Young Link,55.0,{'55': 3},
44,Ness,51.0,{'51': 3},
45,Sonic,49.0,{'49': 3},
46,Mr Game and Watch,47.0,{'47': 3},
47,Daisy,42.0,{'42': 3},
48,Duck Hunt,38.0,{'38': 3},
49,Peach,36.0,{'36': 3},
50,Sephiroth,35.0,{'35': 3},
51,Piranha Plant,30.0,{'30': 3},
52,Terry,29.0,{'29': 3},
53,Simon,28.0,{'28': 3},
54,Robin,27.0,{'27': 3},
55,Isabelle,26.0,{'26': 3},
56,Lucario,25.0,{'25': 3},
56,Palutena,25.0,{'25': 3},
58,Roy,23.0,{'23': 3},
58,Wolf,23.0,"{'23': 3, '2': 3}",
60,Ike,22.0,{'22': 3},
61,Mario,21.0,{'21': 3},
61,Bayonetta,21.0,"{'21': 2, '721': 1}",
61,Marth,21.0,{'21': 3},
61,Pichu,21.0,"{'21': 2, '321': 1}",
65,Yoshi,19.0,{'19': 3},
66,Zero Suit Samus,16.0,{'16': 3},
66,Mii Swordsman,16.0,{'16': 3},
66,Rosalina and Luma,16.0,{'16': 3},
69,Ice Climbers,15.0,{'15': 3},
70,Dark Samus,13.0,"{'13': 2, '213': 1}",
70,Cloud,13.0,{'13': 3},
72,Dark Pit,12.0,{'12': 3},
72,Lucina,12.0,{'12': 3},
74,Olimar,11.0,{'11': 3},
75,Pokemon Trainer,10.0,{'10': 3},
75,Chrom,10.0,{'10': 3},
77,Ridley,9.0,{'9': 3},
78,Banjo and Kazooie,7.0,{'7': 3},
78,Pyra-Mythra,7.0,{'7': 6},
80,Shulk,6.0,{'6': 6},
81,Mii Gunner,5.0,{'5': 6},
82,Mii Brawler,4.0,{'4': 6},
83,Joker,3.0,{'3': 3},
83,Corrin,3.0,{'3': 3},
85,Min Min,2.0,{'2': 3},
