rank,character,read_value,candidates,correct
1,Zelda,2600.0,{'2600': 3},
2,Ganondorf,2080.0,{'2080': 3},
3,Luigi,1649.0,{'1649': 3},
4,Little Mac,1035.0,{'1035': 3},
5,Toon Link,966.0,{'966': 3},
6,King K Rool,772.0,"{'772': 2, '172': 1}",
7,Captain Falcon,763.0,{'763': 3},
8,Snake,726.0,{'726': 3},
9,ROB,677.0,{'677': 3},
10,Bowser,582.0,{'582': 3},
11,Donkey Kong,496.0,{'496': 3},
12,King Dedede,337.0,{'337': 3},
13,Incineroar,280.0,{'280': 3},
14,Richter,267.0,{'267': 3},
15,Sora,264.0,{'264': 3},
16,Mewtwo,249.0,{'249': 3},
17,Steve,247.0,{'247': 3},
18,Inkling,211.0,"{'211': 2, '2': 1}",
19,Diddy Kong,201.0,{'201': 3},
20,Hero,184.0,{'184': 3},
21,Samus,170.0,{'170': 3},
22,Dr Mario,148.0,{'148': 3},
23,Falco,129.0,{'129': 6},
24,Pac-Man,98.0,{'98': 3},
25,Jigglypuff,88.0,{'88': 3},
26,Fox,86.0,{'86': 3},
26,Wolf,86.0,"{'86': 3, '17': 2, '7': 1, '3': 3}",
28,Pikachu,77,{'77': 3},
28,Ryu,77,{'77': 3},
30,Sheik,72.0,{'72': 3},
30,Bowser Jr,72.0,{'72': 3},
32,Villager,71.0,{'71': 3},
33,Byleth,70.0,{'70': 3},
34,Kirby,69.0,{'69': 3},
35,Lucas,63.0,{'63': 3},
36,Ken,53.0,"{'2': 2, '53': 1}",
37,Kazuya,52.0,"{'92': 2, '52': 1}",
38,Pit,50.0,"{'90': 2, '50': 1}",
38,Greninja,50.0,{'50': 3},
40,Mega Man,47.0,{'47': 3},
41,Wii Fit Trainer,44.0,"{'4': 2, '44': 1}",
42,Link,41.0,{'41': 3},
43,Ness,38.0,{'38': 3},
44,Sonic,36.0,{'36': 3},
45,Young Link,32.0,"{'2': 2, '32': 1}",
46,Mr Game and Watch,31.0,{'31': 3},
47,Sephiroth,29.0,{'29': 3},
48,Peach,26.0,{'26': 3},
49,Daisy,25.0,{'25': 3},
49,Duck Hunt,25.0,{'25': 3},
49,Simon,25.0,{'25': 3},
52,Piranha Plant,24.0,{'24': 6},
53,Palutena,20.0,"{'20': 2, '200': 1}",
54,Terry,19.0,{'19': 3},
55,Ike,18.0,{'18': 3},
55,Bayonetta,18.0,{'18': 3},
57,Pichu,17.0,"{'17': 2, '7': 1}",
57,Marth,17.0,"{'17': 2, '7': 1}",
57,Roy,17.0,"{'17': 4, '7': 2}",
57,Zero Suit Samus,17.0,"{'17': 2, '7': 1}",
61,Mario,16.0,{'16': 3},
61,Lucario,16.0,{'16': 3},
61,Isabelle,16.0,{'16': 3},
64,Robin,15.0,"{'15': 2, '150': 1}",
65,Yoshi,13.0,{'13': 4},
66,Dark Samus,11.0,{'11': 2},
66,Ice Climbers,11.0,{'11': 2},
66,Rosalina and Luma,11.0,{'11': 2},
66,Cloud,11.0,"{'11': 2, '4': 1}",
66,Mii Swordsman,11.0,{'11': 2},
71,Ridley,10.0,{'10': 3},
72,Lucina,9.0,{'9': 5},
73,Chrom,8.0,{'8': 3},
74,Pokemon Trainer,7.0,{'7': 3},
75,Dark Pit,6.0,{'6': 3},
75,Olimar,6.0,{'6': 3},
77,Shulk,5.0,{'5': 1},
77,Pyra-Mythra,5.0,"{'5': 2, '3': 2}",
79,Banjo and Kazooie,4.0,{'4': 6},
80,Joker,3.0,{'3': 3},
80,Min Min,3.0,{'3': 3},
80,Mii Brawler,3.0,{'3': 3},
83,Corrin,2.0,{'2': 3},
83,Mii Gunner,2.0,{'2': 3},
