rank,character,read_value,candidates,correct
1,Zelda,24.0,{'24': 3},
2,King K Rool,17.0,"{'17': 2, '7': 1}",
3,Bowser,13.0,{'13': 3},
4,King Dedede,11.0,{'11': 2},
5,Donkey Kong,7.0,{'7': 3},
5,ROB,7.0,{'7': 1},
7,Toon Link,5.0,{'5': 1},
8,Snake,4.0,{'4': 3},
8,Diddy Kong,4.0,{'4': 3},
10,Samus,3.0,{'3': 3},
10,Pac-Man,3.0,{'3': 3},
10,Steve,3.0,{'3': 3},
13,Captain Falcon,2.0,{'2': 3},
13,Sheik,2.0,{'2': 3},
13,Little Mac,2.0,{'2': 3},
13,Ken,2.0,{'2': 3},
13,Isabelle,2.0,{'2': 3},
18,Link,1.0,{'1': 3},
18,Kirby,1.0,{'1': 3},
18,Fox,1.0,{'1': 3},
18,Pikachu,1.0,{'1': 3},
18,Luigi,1.0,{'1': 3},
18,Daisy,1.0,{'1': 3},
18,Ice Climbers,1.0,{'1': 3},
18,Young Link,1.0,{'1': 3},
18,Ganondorf,1.0,{'1': 3},
18,Mewtwo,1.0,{'1': 3},
18,Pit,1.0,{'1': 3},
18,Wolf,1.0,"{'1': 3, '0': 2}",
18,Sonic,1.0,{'1': 3},
18,Lucario,1.0,{'1': 3},
18,Villager,1.0,{'1': 3},
18,Wii Fit Trainer,1.0,{'1': 3},
18,Greninja,1.0,{'1': 3},
18,Robin,1.0,{'1': 3},
18,Ryu,1.0,{'1': 3},
18,Kazuya,1.0,{'1': 6},
18,Mii Gunner,1.0,{'1': 3},
39,Mario,0.0,{'0': 2},
39,Dark Samus,0.0,{'0': 1},
39,Yoshi,0.0,{'0': 3},
39,Ness,0.0,{'0': 3},
39,Jigglypuff,0.0,{'0': 2},
39,Peach,0.0,{'0': 5},
39,Dr Mario,0.0,{'0': 2},
39,Pichu,0.0,{'0': 1},
39,Falco,0.0,{'0': 1},
39,Marth,0.0,{'0': 2},
39,Lucina,0.0,{'0': 2},
39,Roy,0.0,{'0': 2},
39,Chrom,0.0,{'0': 4},
39,Mr Game and Watch,0.0,{'0': 2},
39,Meta Knight,0.0,{'0': 1},
39,Dark Pit,0.0,{'0': 1},
39,Zero Suit Samus,0.0,{'0': 2},
39,Ike,0.0,{'0': 2},
39,Pokemon Trainer,0.0,{'0': 1},
39,Lucas,0.0,{'0': 3},
39,Olimar,0.0,{'0': 2},
39,Mega Man,0.0,{'0': 1},
39,Rosalina and Luma,0.0,{'0': 3},
39,Palutena,0.0,{'0': 2},
39,Shulk,0.0,{'0': 2},
39,Bowser Jr,0.0,"{'0': 3, '4': 1}",
39,Duck Hunt,0.0,{'0': 1},
39,Cloud,0.0,{'0': 1},
39,Corrin,0.0,{'0': 2},
39,Bayonetta,0.0,{'0': 1},
39,Inkling,0.0,{'0': 2},
39,Ridley,0.0,{'0': 1},
39,Simon,0.0,{'0': 1},
39,Richter,0.0,{'0': 2},
39,Incineroar,0.0,{'0': 2},
39,Piranha Plant,0.0,{'0': 2},
39,Joker,0.0,{'0': 1},
39,Hero,0.0,{'0': 2},
39,Banjo and Kazooie,0.0,{'0': 2},
39,Terry,0.0,{'0': 4},
39,Byleth,0.0,{'0': 2},
39,Min Min,0.0,{'0': 1},
39,Sephiroth,0.0,{'0': 1},
39,Pyra-Mythra,0.0,{'0': 2},
39,Sora,0.0,{'0': 1},
39,Mii Brawler,0.0,{'0': 1},
39,Mii Swordsman,0.0,{'0': 2},
