rank,character,read_value,candidates,correct
1,Zelda,391.0,{'391': 3},
2,Ganondorf,157.0,"{'157': 2, '187': 1}",
3,Luigi,130.0,{'130': 3},
4,Toon Link,97.0,{'97': 3},
5,King K Rool,93.0,{'93': 3},
6,Little Mac,64.0,{'64': 3},
7,Snake,60.0,{'60': 3},
8,Captain Falcon,52.0,"{'92': 2, '52': 1}",
9,ROB,50.0,"{'90': 2, '50': 1}",
10,Bowser,41.0,"{'41': 2, '4': 1}",
11,Steve,34.0,{'34': 3},
12,Donkey Kong,33.0,{'33': 3},
13,Mewtwo,27.0,{'27': 3},
14,King Dedede,26.0,{'26': 3},
15,Inkling,24.0,{'24': 3},
16,Samus,23.0,"{'2': 2, '23': 1}",
17,Diddy Kong,21.0,"{'21': 2, '2': 1}",
17,Incineroar,21.0,"{'21': 2, '2': 1}",
19,Richter,19.0,{'19': 3},
19,Sora,19.0,{'19': 3},
21,Pac-Man,17.0,"{'17': 2, '7': 1}",
22,Hero,15.0,"{'15': 2, '150': 1}",
23,Bowser Jr,13.0,{'13': 3},
24,Dr Mario,10.0,{'10': 3},
24,Wii Fit Trainer,10.0,"{'10': 2, '100': 1}",
26,Falco,9.0,{'9': 2},
27,Wario,8.0,{'8': 2},
27,Lucas,8.0,{'8': 3},
27,Villager,8.0,{'8': 3},
30,Link,7.0,{'7': 1},
31,Yoshi,6.0,{'6': 3},
31,Mr Game and Watch,6.0,{'6': 2},
31,Pit,6.0,{'6': 3},
31,Ryu,6.0,{'6': 3},
35,Young Link,5.0,{'5': 1},
35,Sonic,5.0,{'5': 1},
35,Greninja,5.0,"{'3': 2, '5': 1}",
35,Byleth,5.0,{'5': 1},
35,Kazuya,5.0,"{'3': 2, '5': 1}",
40,Pikachu,4.0,{'4': 3},
40,Jigglypuff,4.0,{'4': 3},
40,Roy,4.0,{'4': 3},
40,Mega Man,4.0,{'4': 3},
40,Robin,4.0,{'4': 3},
40,Duck Hunt,4.0,{'4': 3},
40,Terry,4.0,{'4': 3},
47,Kirby,3.0,{'3': 3},
47,Fox,3.0,{'3': 1},
47,Ness,3.0,{'3': 3},
47,Daisy,3.0,{'3': 3},
47,Ike,3.0,{'3': 3},
47,Olimar,3.0,{'3': 3},
47,Piranha Plant,3.0,{'3': 3},
54,Mario,2.0,{'2': 3},
54,Ice Climbers,2.0,{'2': 3},
54,Dark Pit,2.0,{'2': 3},
54,Pokemon Trainer,2.0,{'2': 3},
54,Lucario,2.0,{'2': 3},
54,Palutena,2.0,{'2': 3},
54,Ken,2.0,{'2': 3},
54,Simon,2.0,{'2': 3},
54,Isabelle,2.0,{'2': 3},
54,Sephiroth,2.0,{'2': 3},
54,Pyra-Mythra,2.0,{'2': 3},
65,Dark Samus,1.0,{'1': 3},
65,Peach,1.0,{'1': 3},
65,Sheik,1.0,{'1': 3},
65,Pichu,1.0,{'1': 3},
65,Marth,1.0,{'1': 3},
65,Chrom,1.0,{'1': 3},
65,Wolf,1.0,"{'1': 3, '0': 1}",
65,Rosalina and Luma,1.0,{'1': 3},
65,Shulk,1.0,{'1': 3},
65,Cloud,1.0,{'1': 3},
65,Corrin,1.0,{'1': 3},
65,Ridley,1.0,{'1': 3},
65,Banjo and Kazooie,1.0,{'1': 3},
65,Mii Swordsman,1.0,{'1': 3},
65,Mii Gunner,1.0,{'1': 6},
80,Lucina,0.0,{'0': 4},
80,Zero Suit Samus,0.0,{'0': 4},
80,Bayonetta,0.0,{'0': 3},
80,Joker,0.0,{'0': 2},
80,Min Min,0.0,{'0': 1},
80,Mii Brawler,0.0,{'0': 3},
