rank,character,read_value,candidates,correct
1,Little Mac,154442.0,{'154442': 3},
2,Donkey Kong,3593.0,{'3593': 3},
3,Steve,2556.0,{'2556': 3},
4,Bayonetta,1788.0,{'1788': 3},
5,Sonic,1023.0,{'1023': 3},
6,Ganondorf,990.0,{'990': 3},
7,Diddy Kong,931.0,{'931': 3},
8,Inkling,921.0,{'921': 6},
9,King Dedede,904.0,{'904': 3},
10,King K Rool,882.0,{'882': 3},
11,Ridley,788.0,{'788': 3},
12,Sora,745.0,{'745': 3},
13,Fox,730.0,{'730': 3},
14,Zero Suit Samus,683.0,{'683': 3},
15,Ice Climbers,581.0,"{'581': 4, '981': 2}",
15,Wario,581.0,{'581': 3},
17,Mr Game and Watch,577,{'577': 3},
18,Olimar,570.0,"{'970': 2, '570': 1}",
19,Min Min,554.0,"{'994': 2, '554': 1}",
20,Captain Falcon,534.0,"{'934': 2, '534': 1}",
21,Falco,528.0,"{'928': 2, '528': 1}",
22,Byleth,505.0,{'505': 3},
23,Bowser,487.0,{'487': 3},
24,Lucina,416.0,{'416': 3},
25,Dr Mario,389.0,{'389': 3},
26,Luigi,386.0,{'386': 3},
27,Wii Fit Trainer,365.0,{'365': 3},
28,Mario,328.0,{'328': 3},
28,Marth,328.0,{'328': 3},
30,Hero,324.0,{'324': 3},
31,Ness,310.0,{'310': 3},
32,Banjo and Kazooie,298.0,{'298': 3},
33,Daisy,292.0,{'292': 3},
34,Samus,274.0,{'274': 3},
35,Pichu,260.0,{'260': 3},
36,Link,0.0,{'0': 2},
36,Dark Samus,0.0,{'0': 4},
36,Yoshi,0.0,{'0': 2},
36,Kirby,0.0,{'0': 2},
36,Pikachu,0.0,{'0': 2},
36,Jigglypuff,0.0,{'0': 1},
36,Peach,0.0,{'0': 2},
36,Sheik,0.0,{'0': 1},
36,Zelda,0.0,{'0': 1},
36,Young Link,0.0,{'0': 1},
36,Mewtwo,0.0,{'0': 2},
36,Roy,0.0,{'0': 2},
36,Chrom,0.0,{'0': 2},
36,Meta Knight,0.0,{'0': 2},
36,Pit,0.0,{'0': 2},
36,Dark Pit,0.0,{'0': 1},
36,Snake,0.0,{'0': 2},
36,Ike,0.0,{'0': 3},
36,Pokemon Trainer,0.0,{'0': 2},
36,Lucas,0.0,{'0': 2},
36,Lucario,0.0,{'0': 3},
36,ROB,0.0,{'0': 1},
36,Toon Link,0.0,{'0': 1},
36,Sephiroth,0.0,{'0': 6},
36,Villager,0.0,{'0': 1},
36,Mega Man,0.0,{'0': 2},
36,Rosalina and Luma,0.0,{'0': 2},
36,Greninja,0.0,{'0': 3},
36,Palutena,0.0,{'0': 2},
36,Pac-Man,0.0,{'0': 2},
36,Robin,0.0,{'0': 1},
36,Shulk,0.0,{'0': 3},
36,Bowser Jr,0.0,{'0': 1},
36,Duck Hunt,0.0,{'0': 1},
36,Ryu,0.0,{'0': 2},
36,Ken,0.0,{'0': 1},
36,Cloud,0.0,{'0': 1},
36,Corrin,0.0,{'0': 2},
36,Simon,0.0,{'0': 3},
36,Richter,0.0,{'0': 2},
36,Isabelle,0.0,{'0': 2},
36,Incineroar,0.0,{'0': 2},
36,Piranha Plant,0.0,{'0': 2},
36,Joker,0.0,{'0': 4},
36,Terry,0.0,{'0': 3},
36,Pyra-Mythra,0.0,{'0': 1},
36,Kazuya,0.0,{'0': 3},
36,Mii Brawler,0.0,{'0': 1},
36,Mii Swordsman,0.0,{'0': 2},
36,Mii Gunner,0.0,{'0': 1},
