rank,character,read_value,candidates,correct
1,Little Mac,147520.0,{'147520': 3},
2,Donkey Kong,3112.0,{'3112': 3},
3,Steve,2680.0,{'2680': 3},
4,Bayonetta,1837.0,{'1837': 3},
5,Ganondorf,1110.0,{'1110': 3},
6,Ridley,924.0,{'924': 3},
7,Inkling,890.0,{'890': 3},
8,King K Rool,836.0,{'836': 6},
9,Sora,710.0,{'710': 3},
10,Diddy Kong,678.0,{'678': 3},
11,King Dedede,617.0,{'617': 3},
12,Olimar,615.0,{'615': 3},
13,Sonic,608.0,{'608': 3},
14,Mr Game and Watch,527.0,"{'7': 2, '527': 1}",
15,Ice Climbers,502.0,{'502': 3},
16,Fox,499.0,{'499': 3},
17,Wario,480.0,"{'480': 2, '4800': 1}",
18,Byleth,479.0,{'479': 3},
19,Min Min,452.0,{'452': 3},
20,Captain Falcon,420.0,{'420': 3},
21,Zero Suit Samus,398.0,{'398': 3},
22,Luigi,369.0,{'369': 3},
23,Mario,366.0,{'366': 3},
24,Bowser,360.0,{'360': 3},
25,Wii Fit Trainer,358.0,{'358': 3},
26,Dr Mario,347.0,{'347': 3},
27,Ness,317.0,{'317': 3},
28,Banjo and Kazooie,309.0,{'309': 3},
29,Daisy,295.0,{'295': 3},
29,Marth,295.0,{'295': 3},
31,Hero,289.0,{'289': 3},
32,Lucina,288.0,{'288': 3},
33,Falco,280.0,{'280': 3},
34,Samus,222.0,{'222': 3},
35,Pichu,180.0,{'180': 3},
36,Link,0.0,{'0': 1},
36,Dark Samus,0.0,{'0': 2},
36,Yoshi,0.0,{'0': 1},
36,Kirby,0.0,{'0': 2},
36,Pikachu,0.0,{'0': 3},
36,Jigglypuff,0.0,{'0': 1},
36,Peach,0.0,{'0': 2},
36,Sheik,0.0,{'0': 2},
36,Zelda,0.0,{'0': 3},
36,Young Link,0.0,{'0': 1},
36,Mewtwo,0.0,{'0': 2},
36,Roy,0.0,{'0': 1},
36,Chrom,0.0,{'0': 2},
36,Meta Knight,0.0,{'0': 2},
36,Pit,0.0,{'0': 3},
36,Dark Pit,0.0,{'0': 1},
36,Snake,0.0,{'0': 2},
36,Ike,0.0,{'0': 2},
36,Pokemon Trainer,0.0,{'0': 2},
36,Lucas,0.0,{'0': 1},
36,Lucario,0.0,{'0': 1},
36,ROB,0.0,{'0': 2},
36,Toon Link,0.0,{'0': 2},
36,Sephiroth,0.0,{'0': 7},
36,Villager,0.0,{'0': 2},
36,Mega Man,0.0,{'0': 2},
36,Rosalina and Luma,0.0,{'0': 2},
36,Greninja,0.0,{'0': 2},
36,Palutena,0.0,{'0': 2},
36,Pac-Man,0.0,{'0': 1},
36,Robin,0.0,{'0': 2},
36,Shulk,0.0,{'0': 3},
36,Bowser Jr,0.0,{'0': 2},
36,Duck Hunt,0.0,{'0': 2},
36,Ryu,0.0,{'0': 2},
36,Ken,0.0,{'0': 2},
36,Cloud,0.0,{'0': 4},
36,Corrin,0.0,{'0': 3},
36,Simon,0.0,{'0': 1},
36,Richter,0.0,{'0': 2},
36,Isabelle,0.0,{'0': 1},
36,Incineroar,0.0,{'0': 2},
36,Piranha Plant,0.0,{'0': 2},
36,Joker,0.0,{'0': 4},
36,Terry,0.0,{'0': 2},
36,Pyra-Mythra,0.0,{'0': 5},
36,Kazuya,0.0,"{'0': 3, '4': 1}",
36,Mii Brawler,0.0,{'0': 3},
36,Mii Swordsman,0.0,{'0': 2},
36,Mii Gunner,0.0,{'0': 4},
