rank,character,read_value,candidates,correct
1,Little Mac,1323.0,{'1323': 3},
2,Donkey Kong,32.0,{'32': 3},
3,Steve,19.0,{'19': 3},
4,Bayonetta,15.0,{'15': 3},
5,Ganondorf,9.0,{'9': 2},
6,Diddy Kong,6.0,{'6': 3},
6,Sonic,6.0,{'6': 6},
6,Inkling,6.0,{'6': 6},
6,King K Rool,6.0,{'6': 3},
6,Sora,6.0,{'6': 3},
11,Wario,4.0,{'4': 3},
12,Mario,3.0,{'3': 3},
12,Samus,3.0,{'3': 3},
12,Fox,3.0,{'3': 3},
12,Luigi,3.0,{'3': 3},
12,Ness,3.0,{'3': 3},
12,Captain Falcon,3.0,{'3': 3},
12,Daisy,3.0,{'3': 3},
12,Bowser,3.0,{'3': 3},
12,Dr Mario,3.0,{'3': 3},
12,Pichu,3.0,{'3': 3},
12,Falco,3.0,{'3': 3},
12,Marth,3.0,{'3': 3},
12,Lucina,3.0,{'3': 3},
12,Mr Game and Watch,3.0,{'3': 3},
12,Zero Suit Samus,3.0,{'3': 3},
12,King Dedede,3.0,{'3': 3},
12,Olimar,3.0,{'3': 3},
12,Wii Fit Trainer,3.0,{'3': 3},
12,Ridley,3.0,{'3': 3},
12,Hero,3.0,{'3': 3},
12,Banjo and Kazooie,3.0,{'3': 3},
12,Byleth,3.0,{'3': 3},
12,Min Min,3.0,{'3': 3},
35,Ice Climbers,2.0,{'2': 3},
36,Link,0.0,{'0': 1},
36,Dark Samus,0.0,{'0': 1},
36,Yoshi,0.0,{'0': 2},
36,Kirby,0.0,{'0': 3},
36,Pikachu,0.0,{'0': 2},
36,Jigglypuff,0.0,{'0': 1},
36,Peach,0.0,{'0': 3},
36,Sheik,0.0,{'0': 1},
36,Zelda,0.0,{'0': 2},
36,Young Link,0.0,{'0': 2},
36,Mewtwo,0.0,{'0': 1},
36,Roy,0.0,{'0': 2},
36,Chrom,0.0,{'0': 1},
36,Meta Knight,0.0,{'0': 3},
36,Pit,0.0,{'0': 2},
36,Dark Pit,0.0,{'0': 2},
36,Snake,0.0,{'0': 2},
36,Ike,0.0,{'0': 2},
36,Pokemon Trainer,0.0,{'0': 2},
36,Lucas,0.0,{'0': 1},
36,Lucario,0.0,{'0': 1},
36,ROB,0.0,{'0': 3},
36,Toon Link,0.0,{'0': 1},
36,Wolf,0.0,{'0': 3},
36,Villager,0.0,{'0': 3},
36,Mega Man,0.0,"{'0': 2, '8': 1}",
36,Rosalina and Luma,0.0,{'0': 1},
36,Greninja,0.0,{'0': 1},
36,Palutena,0.0,{'0': 2},
36,Pac-Man,0.0,{'0': 1},
36,Robin,0.0,{'0': 2},
36,Shulk,0.0,{'0': 3},
36,Bowser Jr,0.0,{'0': 1},
36,Duck Hunt,0.0,{'0': 1},
36,Ryu,0.0,{'0': 1},
36,Ken,0.0,{'0': 1},
36,Cloud,0.0,{'0': 2},
36,Corrin,0.0,{'0': 2},
36,Simon,0.0,{'0': 2},
36,Richter,0.0,{'0': 1},
36,Isabelle,0.0,{'0': 1},
36,Incineroar,0.0,{'0': 2},
36,Piranha Plant,0.0,{'0': 2},
36,Joker,0.0,{'0': 3},
36,Terry,0.0,{'0': 2},
36,Sephiroth,0.0,{'0': 2},
36,Pyra-Mythra,0.0,{'0': 3},
36,Kazuya,0.0,{'0': 3},
36,Mii Brawler,0.0,{'0': 3},
36,Mii Swordsman,0.0,{'0': 3},
36,Mii Gunner,0.0,{'0': 1},
