rank,character,read_value,candidates,correct
1,Captain Falcon,4.0,{'4.0': 3},
1,Bowser,4.0,{'4.0': 3},
1,Ice Climbers,4.0,{'4.0': 3},
4,King Dedede,3.0,{'3.0': 3},
4,Sora,3.0,{'3.0': 3},
6,Little Mac,2.3,{'2.3': 3},
7,Luigi,2.0,{'2.0': 6},
7,Daisy,2.0,{'2.0': 6},
7,Dr Mario,2.0,{'2.0': 3},
7,Marth,2.0,{'2.0': 3},
7,Wii Fit Trainer,2.0,{'2.0': 3},
7,Ridley,2.0,{'2.0': 3},
7,Min Min,2.0,{'2.0': 3},
14,Diddy Kong,1.5,{'1.5': 3},
15,Samus,1.0,{'1.0': 3},
15,Lucina,1.0,{'1.0': 3},
15,Mr Game and Watch,1.0,{'1.0': 3},
15,Zero Suit Samus,1.0,{'1.0': 3},
15,Bayonetta,1.0,{'1.0': 3},
15,Banjo and Kazooie,1.0,{'1.0': 3},
21,Steve,0.71,{'0.71': 3},
22,Sonic,0.5,{'0.5': 3},
22,Inkling,0.5,{'0.5': 3},
22,King K Rool,0.5,{'0.5': 3},
25,Donkey Kong,0.36,{'0.36': 3},
26,Ganondorf,0.33,{'0.33': 3},
27,Mario,0.0,{'0.0': 3},
27,Fox,0.0,{'0.0': 3},
27,Ness,0.0,{'0.0': 3},
27,Pichu,0.0,{'0.0': 3},
27,Falco,0.0,{'0.0': 3},
27,Wario,0.0,{'0.0': 3},
27,Olimar,0.0,{'0.0': 3},
27,Hero,0.0,{'0.0': 3},
27,Byleth,0.0,{'0.0': 3},
27,Link,0.0,{'0.0': 3},
27,Dark Samus,0.0,{'0.0': 3},
27,Yoshi,0.0,{'0.0': 3},
27,Kirby,0.0,{'0.0': 3},
27,Pikachu,0.0,{'0.0': 3},
27,Jigglypuff,0.0,{'0.0': 3},
27,Peach,0.0,{'0.0': 3},
27,Sheik,0.0,{'0.0': 3},
27,Zelda,0.0,{'0.0': 3},
27,Young Link,0.0,{'0.0': 3},
27,Mewtwo,0.0,{'0.0': 3},
27,Roy,0.0,{'0.0': 3},
27,Chrom,0.0,{'0.0': 3},
27,Meta Knight,0.0,{'0.0': 3},
27,Pit,0.0,{'0.0': 3},
27,Dark Pit,0.0,{'0.0': 3},
27,Snake,0.0,{'0.0': 3},
27,Ike,0.0,{'0.0': 3},
27,Pokemon Trainer,0.0,{'0.0': 3},
27,Lucas,0.0,{'0.0': 3},
27,Lucario,0.0,{'0.0': 3},
27,ROB,0.0,{'0.0': 3},
27,Toon Link,0.0,{'0.0': 6},
27,Sephiroth,0.0,{'0.0': 9},
27,Villager,0.0,{'0.0': 3},
27,Mega Man,0.0,{'0.0': 3},
27,Rosalina and Luma,0.0,{'0.0': 3},
27,Greninja,0.0,{'0.0': 3},
27,Palutena,0.0,{'0.0': 3},
27,Pac-Man,0.0,{'0.0': 6},
27,Robin,0.0,{'0.0': 3},
27,Shulk,0.0,{'0.0': 3},
27,Bowser Jr,0.0,{'0.0': 3},
27,Duck Hunt,0.0,{'0.0': 3},
27,Ryu,0.0,{'0.0': 3},
27,Ken,0.0,{'0.0': 3},
27,Cloud,0.0,{'0.0': 3},
27,Corrin,0.0,{'0.0': 3},
27,Simon,0.0,{'0.0': 3},
27,Richter,0.0,{'0.0': 3},
27,Isabelle,0.0,{'0.0': 3},
27,Incineroar,0.0,{'0.0': 3},
27,Piranha Plant,0.0,{'0.0': 3},
27,Joker,0.0,{'0.0': 9},
27,Terry,0.0,{'0.0': 6},
27,Pyra-Mythra,0.0,{'0.0': 6},
27,Kazuya,0.0,{'0.0': 6},
27,Mii Brawler,0.0,{'0.0': 6},
27,Mii Swordsman,0.0,{'0.0': 6},
27,Mii Gunner,0.0,{'0.0': 6},
