rank,character,read_value,candidates,correct
1,Little Mac,88.23,{'88.23': 3},
2,Donkey Kong,2.08,{'2.08': 3},
3,Steve,1.32,{'1.32': 3},
4,Bayonetta,0.94,{'0.94': 3},
5,Ganondorf,0.56,{'0.56': 3},
6,Wario,0.37,{'0.37': 3},
6,Diddy Kong,0.37,{'0.37': 3},
6,Sonic,0.37,{'0.37': 6},
6,Inkling,0.37,{'0.37': 3},
6,King K Rool,0.37,{'0.37': 3},
6,Sora,0.37,{'0.37': 3},
12,Mario,0.18,{'0.18': 3},
12,Samus,0.18,{'0.18': 3},
12,Fox,0.18,{'0.18': 3},
12,Ness,0.18,{'0.18': 3},
12,Captain Falcon,0.18,{'0.18': 3},
12,Daisy,0.18,{'0.18': 3},
12,Bowser,0.18,{'0.18': 3},
12,Ice Climbers,0.18,{'0.18': 3},
12,Dr Mario,0.18,{'0.18': 3},
12,Pichu,0.18,{'0.18': 3},
12,Falco,0.18,{'0.18': 3},
12,Marth,0.18,{'0.18': 3},
12,Lucina,0.18,{'0.18': 3},
12,Mr Game and Watch,0.18,{'0.18': 3},
12,Zero Suit Samus,0.18,{'0.18': 3},
12,King Dedede,0.18,{'0.18': 3},
12,Olimar,0.18,{'0.18': 3},
12,Wii Fit Trainer,0.18,{'0.18': 3},
12,Ridley,0.18,{'0.18': 3},
12,Hero,0.18,{'0.18': 3},
12,Banjo and Kazooie,0.18,{'0.18': 3},
12,Byleth,0.18,{'0.18': 3},
12,Min Min,0.18,{'0.18': 3},
35,Link,0.0,{'0.0': 3},
35,Dark Samus,0.0,{'0.0': 6},
35,Yoshi,0.0,{'0.0': 3},
35,Kirby,0.0,{'0.0': 3},
35,Pikachu,0.0,{'0.0': 3},
35,Jigglypuff,0.0,{'0.0': 3},
35,Peach,0.0,{'0.0': 3},
35,Sheik,0.0,{'0.0': 3},
35,Zelda,0.0,{'0.0': 3},
35,Young Link,0.0,{'0.0': 3},
35,Mewtwo,0.0,{'0.0': 3},
35,Roy,0.0,{'0.0': 3},
35,Chrom,0.0,{'0.0': 3},
35,Meta Knight,0.0,{'0.0': 3},
35,Pit,0.0,{'0.0': 3},
35,Dark Pit,0.0,{'0.0': 6},
35,Snake,0.0,{'0.0': 3},
35,Ike,0.0,{'0.0': 3},
35,Pokemon Trainer,0.0,{'0.0': 3},
35,Lucas,0.0,{'0.0': 3},
35,Lucario,0.0,{'0.0': 3},
35,ROB,0.0,{'0.0': 3},
35,Toon Link,0.0,{'0.0': 3},
35,Sephiroth,0.0,{'0.0': 9},
35,Villager,0.0,{'0.0': 3},
35,Mega Man,0.0,{'0.0': 3},
35,Rosalina and Luma,0.0,{'0.0': 3},
35,Greninja,0.0,{'0.0': 3},
35,Palutena,0.0,{'0.0': 3},
35,Pac-Man,0.0,{'0.0': 3},
35,Robin,0.0,{'0.0': 3},
35,Shulk,0.0,{'0.0': 3},
35,Bowser Jr,0.0,{'0.0': 3},
35,Duck Hunt,0.0,{'0.0': 3},
35,Ryu,0.0,{'0.0': 3},
35,Ken,0.0,{'0.0': 3},
35,Cloud,0.0,{'0.0': 3},
35,Corrin,0.0,{'0.0': 3},
35,Simon,0.0,{'0.0': 3},
35,Richter,0.0,{'0.0': 3},
35,Isabelle,0.0,{'0.0': 3},
35,Incineroar,0.0,{'0.0': 3},
35,Piranha Plant,0.0,{'0.0': 3},
35,Joker,0.0,{'0.0': 9},
35,Terry,0.0,{'0.0': 9},
35,Pyra-Mythra,0.0,{'0.0': 6},
35,Kazuya,0.0,{'0.0': 6},
35,Mii Brawler,0.0,{'0.0': 6},
35,Mii Swordsman,0.0,{'0.0': 6},
35,Mii Gunner,0.0,{'0.0': 6},
