rank,character,read_value,candidates,correct
1,Pyra-Mythra,33.0,{'33': 3},
2,Ike,21.0,"{'21': 2, '2': 1}",
3,Captain Falcon,12.0,{'12': 3},
4,Lucina,6.0,{'6': 3},
5,Donkey Kong,3.0,{'3': 3},
6,Link,2.0,{'2': 3},
6,Fox,2.0,{'2': 3},
6,Marth,2.0,{'2': 3},
6,Palutena,2.0,{'2': 3},
6,Hero,2.0,{'2': 3},
11,Yoshi,1.0,{'1': 3},
11,Kirby,1.0,{'1': 3},
11,Pikachu,1.0,{'1': 3},
11,Ness,1.0,{'1': 3},
11,Peach,1.0,{'1': 3},
11,Sheik,1.0,{'1': 3},
11,Zelda,1.0,{'1': 3},
11,Falco,1.0,{'1': 3},
11,Young Link,1.0,{'1': 3},
11,Lucas,1.0,{'1': 3},
11,Sonic,1.0,{'1': 3},
11,ROB,1.0,{'1': 3},
11,Toon Link,1.0,{'1': 6},
11,Villager,1.0,{'1': 3},
11,Rosalina and Luma,1.0,{'1': 3},
11,Pac-Man,1.0,{'1': 3},
11,Robin,1.0,{'1': 3},
11,Bayonetta,1.0,{'1': 3},
11,Steve,1.0,{'1': 3},
11,Sephiroth,1.0,"{'1': 3, '0': 3}",
11,Kazuya,1.0,{'1': 3},
11,Sora,1.0,{'1': 3},
33,Mario,0.0,{'0': 3},
33,Samus,0.0,{'0': 2},
33,Dark Samus,0.0,{'0': 1},
33,Luigi,0.0,{'0': 2},
33,Jigglypuff,0.0,{'0': 1},
33,Daisy,0.0,{'0': 4},
33,Bowser,0.0,{'0': 3},
33,Ice Climbers,0.0,{'0': 2},
33,Dr Mario,0.0,{'0': 2},
33,Pichu,0.0,{'0': 2},
33,Ganondorf,0.0,{'0': 3},
33,Mewtwo,0.0,{'0': 1},
33,Roy,0.0,{'0': 3},
33,Chrom,0.0,{'0': 2},
33,Mr Game and Watch,0.0,{'0': 1},
33,Meta Knight,0.0,{'0': 3},
33,Pit,0.0,{'0': 3},
33,Dark Pit,0.0,{'0': 1},
33,Zero Suit Samus,0.0,{'0': 1},
33,Wario,0.0,{'0': 3},
33,Snake,0.0,{'0': 1},
33,Pokemon Trainer,0.0,"{'0': 2, '8': 1}",
33,Diddy Kong,0.0,{'0': 3},
33,King Dedede,0.0,{'0': 1},
33,Olimar,0.0,{'0': 1},
33,Lucario,0.0,{'0': 2},
33,Mega Man,0.0,{'0': 2},
33,Wii Fit Trainer,0.0,{'0': 1},
33,Little Mac,0.0,{'0': 2},
33,Greninja,0.0,{'0': 3},
33,Shulk,0.0,{'0': 2},
33,Bowser Jr,0.0,{'0': 2},
33,Duck Hunt,0.0,{'0': 1},
33,Ryu,0.0,{'0': 3},
33,Ken,0.0,{'0': 3},
33,Cloud,0.0,{'0': 2},
33,Corrin,0.0,{'0': 2},
33,Inkling,0.0,{'0': 2},
33,Ridley,0.0,{'0': 3},
33,Simon,0.0,{'0': 1},
33,Richter,0.0,"{'0': 3, '6': 1}",
33,King K Rool,0.0,{'0': 1},
33,Isabelle,0.0,{'0': 1},
33,Incineroar,0.0,{'0': 3},
33,Piranha Plant,0.0,{'0': 1},
33,Joker,0.0,{'0': 4},
33,Banjo and Kazooie,0.0,{'0': 4},
33,Terry,0.0,{'0': 3},
33,Byleth,0.0,{'0': 2},
33,Min Min,0.0,{'0': 1},
33,Mii Brawler,0.0,{'0': 1},
33,Mii Swordsman,0.0,{'0': 2},
33,Mii Gunner,0.0,{'0': 2},
