rank,character,read_value,candidates,correct
1,Pyra-Mythra,13088.0,{'13088': 1},
2,Ike,6373.0,{'6373': 3},
3,Captain Falcon,3137.0,{'3137': 3},
4,Lucina,1849.0,{'1849': 3},
5,Donkey Kong,736.0,{'736': 3},
6,Marth,446.0,{'446': 3},
7,ROB,352.0,{'352': 3},
8,Link,348.0,{'348': 6},
9,Hero,345.0,{'345': 3},
10,Young Link,330.0,{'330': 3},
11,Robin,322.0,{'322': 3},
12,Ness,316.0,{'316': 3},
13,Pac-Man,306.0,{'306': 3},
14,Fox,303.0,{'303': 3},
15,Bayonetta,298.0,{'298': 6},
16,Kazuya,295.0,{'295': 3},
17,Sonic,292.0,{'292': 3},
18,Toon Link,289.0,{'289': 3},
19,Villager,281.0,{'281': 3},
19,Sora,281.0,{'281': 3},
21,Palutena,248.0,{'248': 3},
22,Sephiroth,225.0,"{'225': 3, '0': 3}",
23,Yoshi,217.0,{'217': 3},
24,Pikachu,212.0,{'212': 3},
25,Sheik,205.0,{'205': 3},
26,Kirby,199.0,{'199': 3},
27,Lucas,194.0,{'194': 3},
28,Falco,188.0,{'188': 3},
29,Peach,169.0,{'169': 3},
30,Rosalina and Luma,157.0,"{'197': 2, '157': 4}",
31,Steve,156.0,{'156': 3},
32,Zelda,4.0,{'4': 2},
33,Mario,0.0,{'0': 2},
33,Samus,0.0,{'0': 1},
33,Dark Samus,0.0,{'0': 2},
33,Luigi,0.0,{'0': 1},
33,Jigglypuff,0.0,{'0': 1},
33,Daisy,0.0,{'0': 1},
33,Bowser,0.0,{'0': 1},
33,Ice Climbers,0.0,{'0': 3},
33,Dr Mario,0.0,{'0': 3},
33,Pichu,0.0,{'0': 3},
33,Ganondorf,0.0,{'0': 1},
33,Mewtwo,0.0,{'0': 2},
33,Roy,0.0,{'0': 4},
33,Chrom,0.0,{'0': 1},
33,Mr Game and Watch,0.0,{'0': 2},
33,Meta Knight,0.0,{'0': 2},
33,Pit,0.0,{'0': 1},
33,Dark Pit,0.0,{'0': 2},
33,Zero Suit Samus,0.0,{'0': 1},
33,Wario,0.0,{'0': 2},
33,Snake,0.0,{'0': 2},
33,Pokemon Trainer,0.0,{'0': 1},
33,Diddy Kong,0.0,{'0': 2},
33,King Dedede,0.0,{'0': 3},
33,Olimar,0.0,{'0': 1},
33,Lucario,0.0,{'0': 1},
33,Mega Man,0.0,{'0': 1},
33,Wii Fit Trainer,0.0,{'0': 1},
33,Little Mac,0.0,{'0': 2},
33,Greninja,0.0,{'0': 2},
33,Shulk,0.0,{'0': 1},
33,Bowser Jr,0.0,{'0': 2},
33,Duck Hunt,0.0,{'0': 1},
33,Ryu,0.0,"{'0': 3, '4': 1}",
33,Ken,0.0,{'0': 2},
33,Cloud,0.0,{'0': 3},
33,Corrin,0.0,{'0': 3},
33,Inkling,0.0,{'0': 1},
33,Ridley,0.0,{'0': 1},
33,Simon,0.0,{'0': 1},
33,Richter,0.0,{'0': 4},
33,King K Rool,0.0,{'0': 2},
33,Isabelle,0.0,{'0': 1},
33,Incineroar,0.0,{'0': 2},
33,Piranha Plant,0.0,{'0': 2},
33,Joker,0.0,{'0': 3},
33,Banjo and Kazooie,0.0,{'0': 2},
33,Terry,0.0,{'0': 3},
33,Byleth,0.0,{'0': 2},
33,Min Min,0.0,{'0': 2},
33,Mii Brawler,0.0,{'0': 1},
33,Mii Swordsman,0.0,{'0': 1},
33,Mii Gunner,0.0,{'0': 2},
