rank,character,read_value,candidates,correct
1,Pyra-Mythra,6960.0,{'6960': 3},
2,Captain Falcon,4435.0,{'4435': 3},
3,Lucina,2302.0,{'2302': 3},
4,Ike,1577.0,{'1577': 3},
5,Donkey Kong,1110.0,{'1110': 3},
6,Marth,791.0,{'791': 3},
7,Link,505.0,"{'905': 2, '505': 1}",
8,Fox,478.0,{'478': 6},
9,Hero,432.0,{'432': 3},
10,Steve,425.0,"{'425': 2, '4250': 1}",
11,Peach,422.0,{'422': 3},
12,Young Link,418.0,{'418': 3},
13,Pac-Man,401.0,{'401': 3},
14,Robin,396.0,{'396': 3},
15,Pikachu,392.0,{'392': 6},
16,Palutena,389.0,{'389': 3},
17,Toon Link,383.0,{'383': 3},
18,Yoshi,381.0,{'381': 3},
19,Villager,379.0,{'379': 3},
20,ROB,378.0,{'378': 3},
21,Sheik,377.0,{'377': 3},
22,Ness,346.0,{'346': 6},
23,Sora,339.0,{'339': 3},
24,Kirby,323.0,{'323': 3},
25,Sephiroth,318.0,"{'318': 3, '0': 1}",
26,Kazuya,315.0,{'315': 3},
27,Sonic,282.0,{'282': 3},
28,Rosalina and Luma,256.0,{'256': 3},
29,Bayonetta,221.0,{'221': 3},
30,Lucas,215.0,{'215': 3},
31,Falco,184.0,{'184': 3},
32,Zelda,121.0,{'121': 3},
33,Mario,0.0,{'0': 1},
33,Samus,0.0,{'0': 2},
33,Dark Samus,0.0,{'0': 2},
33,Luigi,0.0,{'0': 1},
33,Jigglypuff,0.0,{'0': 3},
33,Daisy,0.0,{'0': 2},
33,Bowser,0.0,{'0': 2},
33,Ice Climbers,0.0,{'0': 2},
33,Dr Mario,0.0,{'0': 2},
33,Pichu,0.0,{'0': 2},
33,Ganondorf,0.0,{'0': 2},
33,Mewtwo,0.0,{'0': 5},
33,Roy,0.0,{'0': 1},
33,Chrom,0.0,{'0': 3},
33,Mr Game and Watch,0.0,{'0': 1},
33,Meta Knight,0.0,{'0': 1},
33,Pit,0.0,{'0': 1},
33,Dark Pit,0.0,{'0': 1},
33,Zero Suit Samus,0.0,{'0': 4},
33,Wario,0.0,{'0': 2},
33,Snake,0.0,{'0': 2},
33,Pokemon Trainer,0.0,{'0': 1},
33,Diddy Kong,0.0,{'0': 1},
33,King Dedede,0.0,{'0': 1},
33,Olimar,0.0,{'0': 1},
33,Lucario,0.0,{'0': 3},
33,Mega Man,0.0,{'0': 2},
33,Wii Fit Trainer,0.0,{'0': 3},
33,Little Mac,0.0,{'0': 2},
33,Greninja,0.0,{'0': 3},
33,Shulk,0.0,{'0': 1},
33,Bowser Jr,0.0,{'0': 3},
33,Duck Hunt,0.0,{'0': 1},
33,Ryu,0.0,{'0': 1},
33,Ken,0.0,{'0': 1},
33,Cloud,0.0,{'0': 1},
33,Corrin,0.0,{'0': 1},
33,Inkling,0.0,{'0': 1},
33,Ridley,0.0,{'0': 2},
33,Simon,0.0,{'0': 2},
33,Richter,0.0,{'0': 2},
33,King K Rool,0.0,{'0': 2},
33,Isabelle,0.0,{'0': 2},
33,Incineroar,0.0,{'0': 1},
33,Piranha Plant,0.0,{'0': 2},
33,Joker,0.0,{'0': 2},
33,Banjo and Kazooie,0.0,{'0': 2},
33,Terry,0.0,{'0': 2},
33,Byleth,0.0,{'0': 1},
33,Min Min,0.0,{'0': 2},
33,Mii Brawler,0.0,{'0': 1},
33,Mii Swordsman,0.0,{'0': 2},
33,Mii Gunner,0.0,{'0': 1},
