rank,character,read_value,candidates,correct
1,Ike,9938.0,{'9938': 3},
2,Pyra-Mythra,7902.0,{'7902': 3},
3,Captain Falcon,7221.0,{'7221': 3},
4,Lucina,3253.0,{'3253': 3},
5,Marth,1258.0,{'1258': 3},
6,Donkey Kong,1225.0,{'1225': 3},
7,Fox,925.0,{'925': 3},
8,Young Link,673.0,{'673': 6},
9,Pac-Man,629.0,{'629': 3},
10,Sheik,610.0,{'610': 3},
11,Steve,607.0,{'607': 3},
12,Hero,586.0,"{'86': 2, '586': 1}",
13,Villager,566.0,"{'66': 2, '566': 1}",
14,Palutena,558.0,{'558': 3},
15,Ness,529.0,"{'329': 2, '529': 2, '929': 2}",
16,Toon Link,523.0,"{'223': 2, '523': 1}",
17,Robin,520.0,{'520': 3},
18,Peach,518.0,"{'918': 2, '518': 1}",
19,Pikachu,491.0,{'491': 3},
20,Sonic,450.0,{'450': 3},
21,Sora,443.0,{'443': 3},
22,ROB,422.0,{'422': 6},
23,Link,415.0,{'415': 3},
24,Yoshi,382.0,{'382': 3},
25,Kirby,339.0,{'339': 3},
26,Kazuya,326.0,{'326': 3},
27,Lucas,318.0,{'318': 3},
28,Rosalina and Luma,307.0,{'307': 3},
29,Falco,276.0,{'276': 6},
30,Sephiroth,267.0,{'267': 3},
31,Bayonetta,265.0,{'265': 3},
32,Zelda,136.0,{'136': 3},
33,Mario,0.0,{'0': 3},
33,Samus,0.0,{'0': 1},
33,Dark Samus,0.0,{'0': 1},
33,Luigi,0.0,{'0': 3},
33,Jigglypuff,0.0,{'0': 2},
33,Daisy,0.0,{'0': 1},
33,Bowser,0.0,{'0': 2},
33,Ice Climbers,0.0,{'0': 3},
33,Dr Mario,0.0,{'0': 1},
33,Pichu,0.0,{'0': 2},
33,Ganondorf,0.0,{'0': 5},
33,Mewtwo,0.0,{'0': 2},
33,Roy,0.0,{'0': 2},
33,Chrom,0.0,{'0': 2},
33,Mr Game and Watch,0.0,{'0': 1},
33,Meta Knight,0.0,{'0': 2},
33,Pit,0.0,{'0': 1},
33,Dark Pit,0.0,{'0': 4},
33,Zero Suit Samus,0.0,{'0': 2},
33,Wario,0.0,{'0': 2},
33,Snake,0.0,{'0': 2},
33,Pokemon Trainer,0.0,{'0': 2},
33,Diddy Kong,0.0,{'0': 3},
33,King Dedede,0.0,{'0': 1},
33,Olimar,0.0,{'0': 4},
33,Lucario,0.0,{'0': 2},
33,Wolf,0.0,{'0': 2},
33,Mega Man,0.0,{'0': 2},
33,Wii Fit Trainer,0.0,{'0': 1},
33,Little Mac,0.0,{'0': 2},
33,Greninja,0.0,{'0': 2},
33,Shulk,0.0,{'0': 2},
33,Bowser Jr,0.0,"{'0': 2, '8': 1}",
33,Duck Hunt,0.0,{'0': 1},
33,Ryu,0.0,{'0': 3},
33,Ken,0.0,{'0': 2},
33,Cloud,0.0,{'0': 1},
33,Corrin,0.0,{'0': 3},
33,Inkling,0.0,{'0': 1},
33,Ridley,0.0,{'0': 2},
33,Simon,0.0,{'0': 3},
33,Richter,0.0,{'0': 2},
33,King K Rool,0.0,{'0': 1},
33,Isabelle,0.0,{'0': 2},
33,Incineroar,0.0,{'0': 1},
33,Piranha Plant,0.0,{'0': 2},
33,Joker,0.0,{'0': 4},
33,Banjo and Kazooie,0.0,{'0': 3},
33,Terry,0.0,{'0': 3},
33,Byleth,0.0,{'0': 3},
33,Min Min,0.0,{'0': 3},
33,Mii Brawler,0.0,{'0': 2},
33,Mii Swordsman,0.0,{'0': 3},
33,Mii Gunner,0.0,{'0': 4},
