rank,character,read_value,candidates,correct
1,Pyra-Mythra,10510.0,{'10510': 1},
2,Ike,6314.0,{'6314': 3},
3,Captain Falcon,3021.0,{'3021': 3},
4,Lucina,2539.0,{'2539': 3},
5,Fox,840.0,{'840': 3},
6,Marth,741,{'741': 3},
7,Donkey Kong,567.0,{'567': 3},
8,Young Link,469.0,{'469': 6},
9,Sephiroth,446.0,"{'446': 3, '0': 1}",
10,Toon Link,418.0,{'418': 3},
11,Sheik,387.0,{'387': 3},
12,Sonic,382.0,{'382': 3},
13,Steve,378.0,{'378': 3},
14,Falco,367.0,{'367': 3},
15,Kazuya,319.0,{'319': 3},
16,ROB,293.0,{'293': 3},
17,Villager,278.0,{'278': 3},
18,Bayonetta,272.0,{'272': 3},
19,Ness,266.0,{'266': 3},
20,Yoshi,252.0,{'252': 3},
21,Hero,239.0,{'239': 3},
22,Link,221.0,{'221': 3},
23,Kirby,179.0,{'179': 6},
24,Pikachu,171.0,{'171': 3},
25,Palutena,164.0,{'164': 3},
26,Peach,163.0,{'163': 3},
27,Sora,150.0,{'150': 3},
28,Robin,140.0,{'140': 3},
29,Rosalina and Luma,114.0,{'114': 3},
30,Pac-Man,94.0,{'94': 6},
31,Lucas,66.0,{'66': 3},
32,Zelda,30.0,{'30': 3},
33,Mario,0.0,{'0': 2},
33,Samus,0.0,{'0': 1},
33,Dark Samus,0.0,{'0': 1},
33,Luigi,0.0,{'0': 1},
33,Jigglypuff,0.0,{'0': 1},
33,Daisy,0.0,{'0': 1},
33,Bowser,0.0,{'0': 1},
33,Ice Climbers,0.0,{'0': 1},
33,Dr Mario,0.0,{'0': 3},
33,Pichu,0.0,{'0': 2},
33,Ganondorf,0.0,{'0': 3},
33,Mewtwo,0.0,{'0': 1},
33,Roy,0.0,{'0': 5},
33,Chrom,0.0,{'0': 1},
33,Mr Game and Watch,0.0,{'0': 1},
33,Meta Knight,0.0,{'0': 2},
33,Pit,0.0,{'0': 1},
33,Dark Pit,0.0,{'0': 1},
33,Zero Suit Samus,0.0,{'0': 1},
33,Wario,0.0,{'0': 2},
33,Snake,0.0,{'0': 2},
33,Pokemon Trainer,0.0,{'0': 2},
33,Diddy Kong,0.0,{'0': 2},
33,King Dedede,0.0,{'0': 2},
33,Olimar,0.0,{'0': 1},
33,Lucario,0.0,{'0': 1},
33,Mega Man,0.0,{'0': 5},
33,Wii Fit Trainer,0.0,{'0': 2},
33,Little Mac,0.0,{'0': 1},
33,Greninja,0.0,{'0': 2},
33,Shulk,0.0,{'0': 2},
33,Bowser Jr,0.0,{'0': 2},
33,Duck Hunt,0.0,{'0': 2},
33,Ryu,0.0,{'0': 1},
33,Ken,0.0,{'0': 1},
33,Cloud,0.0,{'0': 2},
33,Corrin,0.0,{'0': 1},
33,Inkling,0.0,{'0': 1},
33,Ridley,0.0,{'0': 2},
33,Simon,0.0,{'0': 1},
33,Richter,0.0,{'0': 1},
33,King K Rool,0.0,"{'0': 3, '6': 1}",
33,Isabelle,0.0,{'0': 2},
33,Incineroar,0.0,{'0': 2},
33,Piranha Plant,0.0,{'0': 3},
33,Joker,0.0,"{'0': 4, '3': 1}",
33,Banjo and Kazooie,0.0,{'0': 3},
33,Terry,0.0,{'0': 5},
33,Byleth,0.0,{'0': 3},
33,Min Min,0.0,{'0': 2},
33,Mii Brawler,0.0,{'0': 2},
33,Mii Swordsman,0.0,{'0': 2},
33,Mii Gunner,0.0,{'0': 1},
