rank,character,read_value,candidates,correct
1,Pyra-Mythra,80.0,{'80': 3},
2,Captain Falcon,36.0,{'36': 3},
3,Ike,30.0,"{'30': 2, '55': 1}",
4,Lucina,17.0,"{'17': 2, '7': 1}",
5,Donkey Kong,8.0,{'8': 3},
6,Link,6.0,{'6': 3},
6,Marth,6.0,{'6': 3},
6,Hero,6.0,{'6': 6},
9,Palutena,5.0,{'5': 3},
10,Fox,4.0,{'4': 2},
11,Yoshi,3.0,{'3': 3},
11,Kirby,3.0,{'3': 3},
11,Pikachu,3.0,{'3': 3},
11,Peach,3.0,{'3': 1},
11,Sheik,3.0,{'3': 6},
11,Zelda,3.0,{'3': 3},
11,Falco,3.0,{'3': 3},
11,Lucas,3.0,{'3': 3},
11,Sonic,3.0,{'3': 3},
11,Toon Link,3.0,{'3': 3},
11,Rosalina and Luma,3.0,{'3': 1},
11,Pac-Man,3.0,{'3': 3},
11,Robin,3.0,{'3': 3},
11,Bayonetta,3.0,{'3': 3},
11,Steve,3.0,{'3': 3},
11,Sephiroth,3.0,"{'3': 3, '0': 2}",
27,Ness,2.0,{'2': 3},
27,Young Link,2.0,{'2': 3},
27,ROB,2.0,{'2': 3},
27,Villager,2.0,{'2': 6},
27,Kazuya,2.0,{'2': 3},
27,Sora,2.0,{'2': 3},
33,Mario,0.0,{'0': 2},
33,Samus,0.0,{'0': 2},
33,Dark Samus,0.0,{'0': 1},
33,Luigi,0.0,{'0': 1},
33,Jigglypuff,0.0,{'0': 1},
33,Daisy,0.0,{'0': 1},
33,Bowser,0.0,{'0': 1},
33,Ice Climbers,0.0,{'0': 1},
33,Dr Mario,0.0,{'0': 2},
33,Pichu,0.0,{'0': 1},
33,Ganondorf,0.0,{'0': 2},
33,Mewtwo,0.0,{'0': 2},
33,Roy,0.0,{'0': 2},
33,Chrom,0.0,{'0': 1},
33,Mr Game and Watch,0.0,{'0': 2},
33,Meta Knight,0.0,{'0': 2},
33,Pit,0.0,{'0': 2},
33,Dark Pit,0.0,{'0': 2},
33,Zero Suit Samus,0.0,{'0': 2},
33,Wario,0.0,{'0': 1},
33,Snake,0.0,{'0': 2},
33,Pokemon Trainer,0.0,{'0': 1},
33,Diddy Kong,0.0,"{'0': 2, '4': 1}",
33,King Dedede,0.0,{'0': 1},
33,Olimar,0.0,"{'0': 1, '4': 1}",
33,Lucario,0.0,{'0': 2},
33,Mega Man,0.0,{'0': 4},
33,Wii Fit Trainer,0.0,{'0': 1},
33,Little Mac,0.0,{'0': 2},
33,Greninja,0.0,{'0': 2},
33,Shulk,0.0,{'0': 1},
33,Bowser Jr,0.0,{'0': 2},
33,Duck Hunt,0.0,{'0': 2},
33,Ryu,0.0,{'0': 2},
33,Ken,0.0,{'0': 1},
33,Cloud,0.0,{'0': 2},
33,Corrin,0.0,{'0': 1},
33,Inkling,0.0,{'0': 2},
33,Ridley,0.0,{'0': 2},
33,Simon,0.0,{'0': 3},
33,Richter,0.0,{'0': 1},
33,King K Rool,0.0,{'0': 6},
33,Isabelle,0.0,{'0': 1},
33,Incineroar,0.0,{'0': 1},
33,Piranha Plant,0.0,{'0': 1},
33,Joker,0.0,{'0': 3},
33,Banjo and Kazooie,0.0,{'0': 3},
33,Terry,0.0,{'0': 3},
33,Byleth,0.0,{'0': 3},
33,Min Min,0.0,{'0': 2},
33,Mii Brawler,0.0,{'0': 2},
33,Mii Swordsman,0.0,{'0': 3},
33,Mii Gunner,0.0,{'0': 1},
