rank,character,read_value,candidates,correct
1,Pyra-Mythra,63.0,{'63': 3},
2,Ike,55.0,"{'95': 2, '55': 1}",
3,Captain Falcon,14.0,{'14': 3},
4,Lucina,13.0,{'13': 3},
5,Marth,8.0,{'8': 3},
6,Donkey Kong,5.0,"{'9': 2, '5': 1}",
7,Hero,4.0,{'4': 3},
8,Young Link,3.0,{'3': 6},
8,ROB,3.0,{'3': 3},
8,Kazuya,3.0,{'3': 3},
8,Sora,3.0,{'3': 3},
12,Ness,2.0,{'2': 3},
12,Lucas,2.0,{'2': 3},
12,Sonic,2.0,{'2': 3},
12,Villager,2.0,{'2': 3},
16,Link,1.0,{'1': 3},
16,Kirby,1.0,{'1': 3},
16,Fox,1.0,{'1': 3},
16,Peach,1.0,{'1': 3},
16,Sheik,1.0,{'1': 3},
16,Toon Link,1.0,{'1': 3},
16,Rosalina and Luma,1.0,{'1': 3},
16,Palutena,1.0,{'1': 6},
16,Robin,1.0,{'1': 3},
16,Sephiroth,1.0,"{'1': 3, '0': 1}",
26,Yoshi,0.0,{'0': 2},
26,Pikachu,0.0,{'0': 1},
26,Zelda,0.0,{'0': 1},
26,Falco,0.0,{'0': 3},
26,Pac-Man,0.0,{'0': 1},
26,Bayonetta,0.0,{'0': 2},
26,Steve,0.0,{'0': 2},
26,Mario,0.0,{'0': 1},
26,Samus,0.0,{'0': 2},
26,Dark Samus,0.0,{'0': 1},
26,Luigi,0.0,{'0': 1},
26,Jigglypuff,0.0,{'0': 2},
26,Daisy,0.0,{'0': 2},
26,Bowser,0.0,{'0': 3},
26,Ice Climbers,0.0,{'0': 1},
26,Dr Mario,0.0,{'0': 1},
26,Pichu,0.0,{'0': 1},
26,Ganondorf,0.0,{'0': 2},
26,Mewtwo,0.0,{'0': 1},
26,Roy,0.0,{'0': 2},
26,Chrom,0.0,{'0': 3},
26,Mr Game and Watch,0.0,{'0': 1},
26,Meta Knight,0.0,{'0': 2},
26,Pit,0.0,{'0': 2},
26,Dark Pit,0.0,{'0': 2},
26,Zero Suit Samus,0.0,{'0': 1},
26,Wario,0.0,{'0': 2},
26,Snake,0.0,{'0': 2},
26,Pokemon Trainer,0.0,{'0': 2},
26,Diddy Kong,0.0,{'0': 2},
26,King Dedede,0.0,{'0': 2},
26,Olimar,0.0,{'0': 2},
26,Lucario,0.0,{'0': 2},
26,Mega Man,0.0,{'0': 6},
26,Wii Fit Trainer,0.0,{'0': 1},
26,Little Mac,0.0,{'0': 1},
26,Greninja,0.0,{'0': 1},
26,Shulk,0.0,{'0': 2},
26,Bowser Jr,0.0,{'0': 2},
26,Duck Hunt,0.0,{'0': 1},
26,Ryu,0.0,{'0': 1},
26,Ken,0.0,{'0': 3},
26,Cloud,0.0,{'0': 3},
26,Corrin,0.0,{'0': 2},
26,Inkling,0.0,{'0': 2},
26,Ridley,0.0,{'0': 1},
26,Simon,0.0,{'0': 1},
26,Richter,0.0,{'0': 1},
26,King K Rool,0.0,{'0': 4},
26,Isabelle,0.0,{'0': 3},
26,Incineroar,0.0,{'0': 1},
26,Piranha Plant,0.0,{'0': 2},
26,Joker,0.0,{'0': 2},
26,Banjo and Kazooie,0.0,{'0': 3},
26,Terry,0.0,{'0': 5},
26,Byleth,0.0,{'0': 4},
26,Min Min,0.0,{'0': 2},
26,Mii Brawler,0.0,{'0': 2},
26,Mii Swordsman,0.0,{'0': 1},
26,Mii Gunner,0.0,{'0': 1},
