rank,character,read_value,candidates,correct
1,Pyra-Mythra,21.0,{'21': 3},
2,Ike,10.0,{'10': 3},
3,Captain Falcon,9.0,"{'9': 2, '5': 1}",
4,Link,2.0,{'2': 3},
4,Palutena,2.0,{'2': 3},
6,Donkey Kong,1.0,{'1': 3},
6,Yoshi,1.0,{'1': 3},
6,Fox,1.0,{'1': 6},
6,Peach,1.0,{'1': 3},
6,Zelda,1.0,{'1': 3},
6,Falco,1.0,{'1': 3},
6,Lucina,1.0,{'1': 3},
6,Rosalina and Luma,1.0,{'1': 3},
6,Bayonetta,1.0,{'1': 3},
6,Hero,1.0,{'1': 3},
6,Steve,1.0,{'1': 3},
6,Sephiroth,1.0,"{'1': 3, '0': 1}",
18,Kirby,0.0,{'0': 1},
18,Pikachu,0.0,{'0': 1},
18,Ness,0.0,{'0': 2},
18,Sheik,0.0,{'0': 1},
18,Marth,0.0,{'0': 2},
18,Young Link,0.0,{'0': 2},
18,Lucas,0.0,{'0': 2},
18,Sonic,0.0,{'0': 1},
18,ROB,0.0,{'0': 1},
18,Toon Link,0.0,{'0': 2},
18,Villager,0.0,{'0': 1},
18,Pac-Man,0.0,{'0': 1},
18,Robin,0.0,{'0': 3},
18,Kazuya,0.0,{'0': 2},
18,Sora,0.0,{'0': 1},
18,Mario,0.0,{'0': 2},
18,Samus,0.0,{'0': 1},
18,Dark Samus,0.0,{'0': 2},
18,Luigi,0.0,{'0': 2},
18,Jigglypuff,0.0,{'0': 2},
18,Daisy,0.0,{'0': 1},
18,Bowser,0.0,{'0': 3},
18,Ice Climbers,0.0,{'0': 2},
18,Dr Mario,0.0,{'0': 3},
18,Pichu,0.0,{'0': 1},
18,Ganondorf,0.0,{'0': 1},
18,Mewtwo,0.0,{'0': 2},
18,Roy,0.0,{'0': 1},
18,Chrom,0.0,{'0': 1},
18,Mr Game and Watch,0.0,{'0': 3},
18,Meta Knight,0.0,{'0': 1},
18,Pit,0.0,{'0': 2},
18,Dark Pit,0.0,{'0': 2},
18,Zero Suit Samus,0.0,{'0': 3},
18,Wario,0.0,{'0': 4},
18,Snake,0.0,{'0': 1},
18,Pokemon Trainer,0.0,{'0': 1},
18,Diddy Kong,0.0,{'0': 1},
18,King Dedede,0.0,{'0': 1},
18,Olimar,0.0,{'0': 1},
18,Lucario,0.0,{'0': 1},
18,Mega Man,0.0,"{'0': 2, '6': 1}",
18,Wii Fit Trainer,0.0,{'0': 2},
18,Little Mac,0.0,{'0': 1},
18,Greninja,0.0,{'0': 3},
18,Shulk,0.0,{'0': 1},
18,Bowser Jr,0.0,{'0': 2},
18,Duck Hunt,0.0,{'0': 1},
18,Ryu,0.0,{'0': 5},
18,Ken,0.0,{'0': 1},
18,Cloud,0.0,{'0': 2},
18,Corrin,0.0,{'0': 2},
18,Inkling,0.0,"{'0': 1, '3': 1}",
18,Ridley,0.0,{'0': 1},
18,Simon,0.0,{'0': 2},
18,Richter,0.0,{'0': 2},
18,King K Rool,0.0,{'0': 2},
18,Isabelle,0.0,{'0': 2},
18,Incineroar,0.0,{'0': 2},
18,Piranha Plant,0.0,{'0': 1},
18,Joker,0.0,{'0': 3},
18,Banjo and Kazooie,0.0,{'0': 3},
18,Terry,0.0,{'0': 5},
18,Byleth,0.0,{'0': 1},
18,Min Min,0.0,{'0': 1},
18,Mii Brawler,0.0,{'0': 3},
18,Mii Swordsman,0.0,{'0': 1},
18,Mii Gunner,0.0,{'0': 2},
