rank,character,read_value,candidates,correct
1,Pyra-Mythra,224.0,{'224': 3},
2,Ike,206.0,{'206': 3},
3,Fox,198.0,{'198': 3},
4,Captain Falcon,195.0,{'195': 3},
5,ROB,193.0,{'193': 3},
6,Marth,189.0,{'189': 3},
7,Young Link,175.0,{'175': 3},
7,Villager,175.0,{'175': 6},
7,Steve,175.0,{'175': 3},
10,Sephiroth,173.0,"{'173': 3, '0': 1}",
11,Sora,172.0,{'172': 3},
12,Lucina,171.0,"{'171': 2, '71': 1}",
13,Donkey Kong,162.0,{'162': 3},
14,Pac-Man,160.0,{'160': 3},
14,Robin,160.0,{'160': 6},
16,Peach,153.0,{'153': 3},
17,Ness,149.0,{'149': 3},
18,Toon Link,145.0,{'145': 3},
18,Kazuya,145.0,{'145': 3},
20,Rosalina and Luma,142.0,{'142': 3},
21,Hero,141.0,{'141': 3},
22,Yoshi,139.0,"{'139': 4, '1389': 2}",
23,Pikachu,138.0,{'138': 3},
24,Link,136.0,{'136': 3},
25,Sheik,131.0,{'131': 3},
26,Kirby,122.0,{'122': 3},
27,Bayonetta,121.0,{'121': 3},
28,Falco,118.0,{'118': 3},
29,Sonic,117.0,"{'117': 2, '7': 1}",
30,Palutena,115.0,{'115': 3},
31,Lucas,102.0,{'102': 3},
32,Zelda,54.0,{'54': 3},
33,Mario,0.0,{'0': 2},
33,Samus,0.0,{'0': 2},
33,Dark Samus,0.0,{'0': 3},
33,Luigi,0.0,{'0': 2},
33,Jigglypuff,0.0,{'0': 2},
33,Daisy,0.0,{'0': 3},
33,Bowser,0.0,{'0': 2},
33,Ice Climbers,0.0,{'0': 1},
33,Dr Mario,0.0,{'0': 2},
33,Pichu,0.0,{'0': 3},
33,Ganondorf,0.0,{'0': 1},
33,Mewtwo,0.0,{'0': 3},
33,Roy,0.0,{'0': 2},
33,Chrom,0.0,{'0': 2},
33,Mr Game and Watch,0.0,{'0': 1},
33,Meta Knight,0.0,{'0': 3},
33,Pit,0.0,{'0': 3},
33,Dark Pit,0.0,{'0': 1},
33,Zero Suit Samus,0.0,{'0': 2},
33,Wario,0.0,{'0': 4},
33,Snake,0.0,{'0': 1},
33,Pokemon Trainer,0.0,{'0': 1},
33,Diddy Kong,0.0,{'0': 2},
33,King Dedede,0.0,{'0': 2},
33,Olimar,0.0,{'0': 1},
33,Lucario,0.0,{'0': 2},
33,Mega Man,0.0,{'0': 1},
33,Wii Fit Trainer,0.0,{'0': 2},
33,Little Mac,0.0,{'0': 2},
33,Greninja,0.0,{'0': 2},
33,Shulk,0.0,{'0': 3},
33,Bowser Jr,0.0,{'0': 2},
33,Duck Hunt,0.0,{'0': 3},
33,Ryu,0.0,{'0': 1},
33,Ken,0.0,{'0': 1},
33,Cloud,0.0,{'0': 2},
33,Corrin,0.0,{'0': 1},
33,Inkling,0.0,{'0': 2},
33,Ridley,0.0,{'0': 2},
33,Simon,0.0,{'0': 3},
33,Richter,0.0,{'0': 2},
33,King K Rool,0.0,{'0': 1},
33,Isabelle,0.0,{'0': 2},
33,Incineroar,0.0,{'0': 2},
33,Piranha Plant,0.0,{'0': 2},
33,Joker,0.0,{'0': 3},
33,Banjo and Kazooie,0.0,{'0': 3},
33,Terry,0.0,{'0': 2},
33,Byleth,0.0,{'0': 2},
33,Min Min,0.0,{'0': 3},
33,Mii Brawler,0.0,{'0': 2},
33,Mii Swordsman,0.0,{'0': 3},
33,Mii Gunner,0.0,{'0': 2},
