rank,character,read_value,candidates,correct
1,Donkey Kong,83830.0,{'83830': 1},
2,Ganondorf,81965.0,{'81965': 3},
3,Kazuya,63059.0,{'63059': 3},
4,Captain Falcon,49825.0,{'49825': 3},
5,Ness,42209.0,{'42209': 3},
6,Byleth,40464.0,{'40464': 3},
7,Little Mac,29802.0,{'29802': 6},
8,Ike,29204.0,{'29204': 6},
9,Incineroar,23094.0,{'23094': 3},
10,Villager,17536.0,{'17536': 3},
11,Wolf,11306.0,{'11306': 3},
12,Jigglypuff,10041.0,{'10041': 3},
13,Roy,9617.0,"{'9617': 2, '5617': 1}",
14,Snake,9194.0,"{'9194': 2, '5194': 1}",
15,Terry,9102.0,"{'9102': 2, '5102': 1}",
16,Lucas,6644.0,{'6644': 3},
17,Joker,5831.0,{'5831': 3},
18,Mii Swordsman,4640.0,{'4640': 3},
19,Hero,3949.0,{'3949': 3},
20,Kirby,3724.0,{'3724': 3},
21,Bowser,3554.0,{'3554': 3},
22,Steve,3330.0,{'3330': 3},
23,King Dedede,2586.0,{'2586': 3},
24,Samus,2548.0,{'2548': 3},
25,Yoshi,2547.0,{'2547': 3},
26,Mega Man,2222.0,{'2222': 3},
27,Cloud,1297.0,{'1297': 3},
28,Ice Climbers,1269.0,{'1269': 3},
29,Min Min,1232.0,{'1232': 3},
30,Luigi,1178.0,{'1178': 3},
31,Pyra-Mythra,1108.0,{'1108': 3},
32,King K Rool,1054.0,{'1054': 3},
33,Ryu,1008.0,{'1008': 3},
34,Sora,879.0,{'879': 3},
35,Mewtwo,846.0,{'846': 3},
36,Sephiroth,819.0,{'819': 3},
37,Diddy Kong,801.0,{'801': 3},
38,Shulk,779.0,"{'779': 2, '179': 1}",
39,Pit,756.0,{'756': 3},
40,Pokemon Trainer,669.0,{'669': 3},
41,Wii Fit Trainer,597.0,"{'997': 2, '597': 1}",
42,Piranha Plant,518.0,"{'518': 4, '918': 2}",
43,Bowser Jr,484.0,{'484': 3},
44,Lucario,448.0,{'448': 3},
45,Lucina,444.0,{'444': 3},
46,Sheik,438.0,{'438': 3},
47,Bayonetta,400.0,{'400': 3},
48,Sonic,399.0,{'399': 3},
49,Pac-Man,384.0,{'384': 3},
50,Marth,356.0,{'356': 3},
51,Dark Samus,348.0,{'348': 3},
52,Zero Suit Samus,339.0,{'339': 3},
53,Wario,295.0,{'295': 3},
54,Duck Hunt,281.0,{'281': 3},
55,Isabelle,269.0,{'269': 3},
56,Pikachu,259.0,{'259': 3},
57,Mr Game and Watch,251.0,"{'251': 2, '257': 1}",
58,Mario,243.0,{'243': 3},
59,Pichu,153.0,{'153': 1},
60,Greninja,91.0,"{'91': 2, '1': 1}",
61,Fox,48.0,{'48': 3},
62,Link,0.0,{'0': 2},
62,Peach,0.0,{'0': 2},
62,Daisy,0.0,{'0': 3},
62,Zelda,0.0,{'0': 1},
62,Dr Mario,0.0,{'0': 2},
62,Falco,0.0,{'0': 2},
62,Young Link,0.0,{'0': 1},
62,Chrom,0.0,{'0': 2},
62,Meta Knight,0.0,{'0': 2},
62,Dark Pit,0.0,{'0': 1},
62,Olimar,0.0,{'0': 2},
62,ROB,0.0,{'0': 1},
62,Toon Link,0.0,{'0': 2},
62,Rosalina and Luma,0.0,{'0': 1},
62,Palutena,0.0,{'0': 3},
62,Robin,0.0,{'0': 2},
62,Ken,0.0,{'0': 1},
62,Corrin,0.0,{'0': 3},
62,Inkling,0.0,{'0': 2},
62,Ridley,0.0,{'0': 3},
62,Simon,0.0,{'0': 3},
62,Richter,0.0,{'0': 5},
62,Banjo and Kazooie,0.0,{'0': 3},
62,Mii Brawler,0.0,{'0': 3},
62,Mii Gunner,0.0,{'0': 2},
