rank,character,read_value,candidates,correct
1,Donkey Kong,96052.0,{'96052': 1},
2,Ganondorf,79180.0,{'79180': 3},
3,Captain Falcon,74134.0,{'74134': 1},
4,Kazuya,70528.0,{'70528': 3},
5,Ness,47855.0,{'47855': 3},
6,Byleth,46546.0,{'46546': 3},
7,Ike,33404.0,{'33404': 6},
8,Little Mac,27875.0,{'27875': 6},
9,Incineroar,27145.0,{'27145': 3},
10,Villager,23769.0,{'23769': 3},
11,Jigglypuff,13770.0,{'13770': 3},
12,Wolf,12923.0,"{'12923': 2, '12523': 1}",
13,Joker,9376.0,{'9376': 3},
14,Lucas,8661.0,{'8661': 3},
15,Roy,6548.0,{'6548': 3},
16,Kirby,6327.0,{'6327': 3},
17,Mii Swordsman,6167.0,{'6167': 3},
18,Terry,5691.0,"{'9691': 2, '5691': 1}",
19,Snake,5597.0,"{'9597': 2, '5597': 1}",
20,Steve,4506.0,{'4506': 3},
21,Hero,4470.0,{'4470': 3},
22,Bowser,4219.0,{'4219': 3},
23,King Dedede,4036.0,{'4036': 3},
24,Samus,3399.0,{'3399': 3},
25,Mega Man,3091.0,{'3091': 3},
26,Yoshi,2755.0,{'2755': 3},
27,Ryu,1864.0,{'1864': 3},
28,Luigi,1813.0,{'1813': 6},
29,Cloud,1460.0,{'1460': 3},
30,Min Min,1456.0,{'1456': 3},
31,Pyra-Mythra,1368.0,{'1368': 3},
32,King K Rool,1299.0,{'1299': 3},
33,Shulk,1141.0,{'1141': 3},
34,Pit,1134.0,{'1134': 3},
35,Diddy Kong,1119.0,{'1119': 3},
36,Sheik,1078.0,{'1078': 3},
37,Wii Fit Trainer,1070.0,{'1070': 3},
38,Mewtwo,1049.0,{'1049': 3},
39,Sora,920.0,{'920': 3},
40,Sephiroth,905.0,{'905': 3},
41,Piranha Plant,786.0,{'786': 3},
42,Lucario,748.0,{'748': 6},
43,Pokemon Trainer,733.0,{'733': 1},
44,Ice Climbers,699.0,{'699': 3},
45,Bayonetta,663.0,{'663': 3},
46,Mario,661.0,{'661': 3},
47,Lucina,587.0,"{'87': 2, '587': 1}",
48,Sonic,579.0,{'579': 3},
49,Wario,543.0,{'543': 3},
50,Bowser Jr,508.0,{'508': 3},
51,Mr Game and Watch,446.0,{'446': 3},
52,Zero Suit Samus,433.0,{'433': 3},
53,Marth,419.0,{'419': 3},
54,Pichu,351.0,{'351': 3},
55,Isabelle,343.0,{'343': 3},
56,Dark Samus,324.0,{'324': 3},
57,Duck Hunt,296.0,{'296': 3},
58,Fox,227.0,{'227': 3},
59,Pikachu,224.0,{'224': 3},
60,Greninja,122.0,{'122': 3},
61,Link,0.0,{'0': 2},
61,Peach,0.0,{'0': 1},
61,Daisy,0.0,{'0': 1},
61,Zelda,0.0,{'0': 2},
61,Dr Mario,0.0,{'0': 2},
61,Falco,0.0,{'0': 2},
61,Young Link,0.0,{'0': 2},
61,Chrom,0.0,{'0': 2},
61,Meta Knight,0.0,{'0': 1},
61,Dark Pit,0.0,{'0': 2},
61,Olimar,0.0,{'0': 2},
61,ROB,0.0,{'0': 2},
61,Toon Link,0.0,{'0': 2},
61,Rosalina and Luma,0.0,{'0': 2},
61,Palutena,0.0,{'0': 1},
61,Robin,0.0,{'0': 1},
61,Ken,0.0,{'0': 2},
61,Corrin,0.0,{'0': 3},
61,Inkling,0.0,{'0': 3},
61,Ridley,0.0,{'0': 3},
61,Simon,0.0,{'0': 4},
61,Richter,0.0,{'0': 3},
61,Banjo and Kazooie,0.0,{'0': 2},
61,Mii Brawler,0.0,{'0': 3},
61,Mii Gunner,0.0,{'0': 3},
