rank,character,read_value,candidates,correct
1,Donkey Kong,42343.0,{'42343': 1},
2,Captain Falcon,32315.0,{'32315': 3},
3,Ganondorf,29951.0,{'29951': 3},
4,Kazuya,22732.0,{'22732': 3},
5,Ness,19657.0,{'19657': 3},
6,Byleth,17071.0,{'17071': 3},
7,Ike,13968.0,{'13968': 6},
8,Villager,11731.0,"{'11731': 4, '14731': 2}",
9,Incineroar,10519.0,{'10519': 3},
10,Little Mac,9989.0,{'9989': 3},
11,Jigglypuff,9896.0,"{'9896': 2, '5896': 1}",
12,Wolf,4641.0,{'4641': 3},
13,Joker,3842.0,{'3842': 3},
14,Lucas,3702.0,{'3702': 3},
15,Kirby,2833.0,{'2833': 3},
16,Roy,2726.0,{'2726': 3},
17,Snake,2461.0,{'2461': 3},
18,Mii Swordsman,2373.0,{'2373': 3},
19,Terry,2021.0,{'2021': 3},
20,Hero,1837.0,{'1837': 3},
21,Bowser,1819.0,{'1819': 6},
22,Steve,1777.0,"{'1777': 2, '777': 1}",
23,Samus,1731.0,{'1731': 3},
24,King Dedede,1426.0,{'1426': 3},
25,Yoshi,1327.0,{'1327': 3},
26,Mega Man,1280.0,{'1280': 3},
27,Luigi,898.0,{'898': 3},
28,Sheik,747.0,"{'147': 4, '747': 2}",
29,Cloud,602.0,{'602': 3},
30,Diddy Kong,588.0,"{'988': 2, '588': 1}",
31,Min Min,556.0,"{'956': 2, '556': 1}",
32,Ryu,550.0,{'550': 3},
33,Pit,506.0,"{'906': 2, '506': 1}",
34,Pyra-Mythra,498.0,{'498': 3},
35,Mewtwo,447.0,{'447': 6},
35,Wii Fit Trainer,447.0,{'447': 3},
37,Ice Climbers,445.0,{'445': 3},
38,King K Rool,431.0,{'431': 3},
39,Shulk,415.0,{'415': 3},
40,Bayonetta,410.0,{'410': 3},
41,Sora,409.0,{'409': 3},
42,Lucario,391.0,{'391': 3},
43,Piranha Plant,295.0,{'295': 3},
44,Lucina,291.0,{'291': 3},
45,Sephiroth,284.0,{'284': 3},
46,Mario,283.0,{'283': 3},
47,Pokemon Trainer,281.0,{'281': 3},
48,Sonic,269.0,{'269': 3},
49,Wario,230.0,{'230': 3},
50,Mr Game and Watch,229.0,{'229': 3},
51,Pac-Man,207.0,{'207': 3},
52,Bowser Jr,206.0,{'206': 3},
53,Zero Suit Samus,205.0,{'205': 3},
54,Marth,193.0,{'193': 3},
55,Isabelle,163.0,{'163': 3},
56,Pichu,155.0,{'155': 3},
57,Dark Samus,130.0,{'130': 3},
58,Duck Hunt,123.0,{'123': 3},
59,Pikachu,103.0,{'103': 3},
60,Fox,102.0,{'102': 3},
61,Greninja,78.0,{'78': 3},
62,Link,0.0,{'0': 1},
62,Peach,0.0,{'0': 3},
62,Daisy,0.0,{'0': 1},
62,Zelda,0.0,{'0': 1},
62,Dr Mario,0.0,{'0': 2},
62,Falco,0.0,{'0': 1},
62,Young Link,0.0,{'0': 2},
62,Chrom,0.0,{'0': 2},
62,Meta Knight,0.0,{'0': 2},
62,Dark Pit,0.0,{'0': 1},
62,Olimar,0.0,{'0': 1},
62,ROB,0.0,{'0': 3},
62,Toon Link,0.0,{'0': 2},
62,Rosalina and Luma,0.0,{'0': 1},
62,Palutena,0.0,{'0': 2},
62,Robin,0.0,{'0': 2},
62,Ken,0.0,{'0': 2},
62,Corrin,0.0,{'0': 4},
62,Inkling,0.0,{'0': 3},
62,Ridley,0.0,{'0': 3},
62,Simon,0.0,{'0': 3},
62,Richter,0.0,{'0': 3},
62,Banjo and Kazooie,0.0,{'0': 2},
62,Mii Brawler,0.0,{'0': 2},
62,Mii Gunner,0.0,{'0': 4},
