rank,character,read_value,candidates,correct
1,Bowser Jr,9.0,"{'9.0': 2, '5.0': 1}",
2,Ganondorf,4.08,{'4.08': 3},
3,Mewtwo,4.0,{'4.0': 3},
3,Sephiroth,4.0,{'4.0': 3},
5,Terry,3.91,{'3.91': 3},
5,Byleth,3.91,{'3.91': 3},
7,Roy,3.86,{'3.86': 6},
7,Little Mac,3.86,{'3.86': 6},
9,Yoshi,3.8,{'3.8': 3},
10,Ike,3.67,{'3.67': 3},
11,King K Rool,3.66,{'3.66': 3},
12,Donkey Kong,3.38,{'3.38': 3},
13,Samus,3.33,{'3.33': 3},
13,Mega Man,3.33,"{'5.33': 2, '3.33': 1}",
15,Incineroar,3.11,{'3.11': 3},
16,Pikachu,3.0,{'3.0': 3},
16,Luigi,3.0,{'3.0': 3},
16,Marth,3.0,{'3.0': 3},
16,Lucina,3.0,{'3.0': 3},
16,Pit,3.0,{'3.0': 3},
16,Zero Suit Samus,3.0,{'3.0': 3},
16,Pokemon Trainer,3.0,{'3.0': 3},
16,Greninja,3.0,{'3.0': 3},
16,Cloud,3.0,{'3.0': 3},
16,Bayonetta,3.0,{'3.0': 3},
16,Pyra-Mythra,3.0,{'3.0': 3},
16,Sora,3.0,{'3.0': 3},
28,Captain Falcon,2.99,{'2.99': 3},
29,Ness,2.96,{'2.96': 3},
30,Joker,2.94,{'2.94': 3},
31,Villager,2.92,{'2.92': 3},
32,Hero,2.9,{'2.9': 3},
33,Min Min,2.66,{'2.66': 3},
34,Bowser,2.62,{'2.62': 3},
35,Snake,2.61,{'2.61': 3},
36,Wii Fit Trainer,2.5,{'2.5': 3},
37,Lucas,2.47,{'2.47': 3},
38,Kirby,2.33,{'2.33': 3},
38,Shulk,2.33,{'2.33': 3},
40,Steve,2.3,{'2.3': 3},
41,King Dedede,2.25,{'2.25': 3},
42,Dark Samus,2.0,{'2.0': 6},
42,Sheik,2.0,{'2.0': 3},
42,Ryu,2.0,{'2.0': 3},
42,Isabelle,2.0,{'2.0': 3},
46,Jigglypuff,1.97,{'1.97': 3},
47,Wolf,1.81,{'1.81': 3},
48,Mii Swordsman,1.78,{'1.78': 3},
49,Lucario,1.5,{'1.5': 3},
50,Diddy Kong,1.33,{'1.33': 3},
51,Fox,1.0,{'1.0': 3},
51,Ice Climbers,1.0,{'1.0': 3},
51,Pichu,1.0,{'1.0': 3},
51,Mr Game and Watch,1.0,{'1.0': 3},
51,Wario,1.0,{'1.0': 3},
51,Sonic,1.0,{'1.0': 3},
51,Pac-Man,1.0,{'1.0': 3},
51,Piranha Plant,1.0,{'1.0': 3},
59,Mario,0.0,{'0.0': 3},
59,Duck Hunt,0.0,{'0.0': 3},
59,Link,0.0,{'0.0': 3},
59,Peach,0.0,{'0.0': 3},
59,Daisy,0.0,{'0.0': 3},
59,Zelda,0.0,{'0.0': 3},
59,Dr Mario,0.0,{'0.0': 3},
59,Falco,0.0,{'0.0': 3},
59,Young Link,0.0,{'0.0': 3},
59,Chrom,0.0,{'0.0': 3},
59,Meta Knight,0.0,{'0.0': 3},
59,Dark Pit,0.0,{'0.0': 3},
59,Olimar,0.0,{'0.0': 6},
59,ROB,0.0,{'0.0': 3},
59,Toon Link,0.0,{'0.0': 3},
59,Rosalina and Luma,0.0,{'0.0': 3},
59,Palutena,0.0,{'0.0': 3},
59,Robin,0.0,{'0.0': 3},
59,Ken,0.0,{'0.0': 3},
59,Corrin,0.0,{'0.0': 9},
59,Inkling,0.0,{'0.0': 6},
59,Ridley,0.0,{'0.0': 6},
59,Simon,0.0,{'0.0': 6},
59,Richter,0.0,{'0.0': 6},
59,Banjo and Kazooie,0.0,{'0.0': 6},
59,Mii Brawler,0.0,{'0.0': 6},
59,Mii Gunner,0.0,{'0.0': 6},
