rank,character,read_value,candidates,correct
1,Donkey Kong,45.0,{'45': 3},
2,Captain Falcon,39.0,"{'39': 2, '59': 1}",
3,Ganondorf,32.0,{'32': 3},
4,Byleth,24.0,{'24': 3},
5,Kazuya,14.0,{'14': 3},
6,Ike,7.0,{'7': 3},
7,Ness,6.0,{'6': 6},
8,Incineroar,4.0,{'4': 6},
9,Lucas,3.0,{'3': 3},
9,Joker,3.0,{'3': 3},
9,Terry,3.0,{'3': 3},
12,Kirby,2.0,{'2': 3},
12,Wii Fit Trainer,2.0,{'2': 3},
14,Jigglypuff,1.0,{'1': 3},
14,Pit,1.0,{'1': 3},
14,Wolf,1.0,{'1': 3},
14,Villager,1.0,{'1': 3},
14,Cloud,1.0,{'1': 3},
19,Mario,0.0,{'0': 1},
19,Samus,0.0,{'0': 2},
19,Dark Samus,0.0,{'0': 1},
19,Yoshi,0.0,{'0': 2},
19,Fox,0.0,{'0': 2},
19,Pikachu,0.0,{'0': 3},
19,Luigi,0.0,{'0': 2},
19,Bowser,0.0,{'0': 1},
19,Ice Climbers,0.0,{'0': 1},
19,Sheik,0.0,{'0': 1},
19,Pichu,0.0,{'0': 1},
19,Marth,0.0,{'0': 1},
19,Lucina,0.0,{'0': 2},
19,Mewtwo,0.0,{'0': 1},
19,Roy,0.0,{'0': 2},
19,Mr Game and Watch,0.0,{'0': 2},
19,Zero Suit Samus,0.0,{'0': 3},
19,Wario,0.0,{'0': 3},
19,Snake,0.0,{'0': 1},
19,Pokemon Trainer,0.0,{'0': 2},
19,Diddy Kong,0.0,{'0': 1},
19,Sonic,0.0,{'0': 2},
19,King Dedede,0.0,{'0': 2},
19,Lucario,0.0,{'0': 4},
19,Mega Man,0.0,{'0': 2},
19,Little Mac,0.0,{'0': 2},
19,Greninja,0.0,{'0': 2},
19,Pac-Man,0.0,{'0': 1},
19,Shulk,0.0,{'0': 1},
19,Bowser Jr,0.0,{'0': 2},
19,Duck Hunt,0.0,{'0': 2},
19,Ryu,0.0,{'0': 2},
19,Bayonetta,0.0,{'0': 3},
19,King K Rool,0.0,{'0': 2},
19,Isabelle,0.0,{'0': 2},
19,Piranha Plant,0.0,{'0': 2},
19,Hero,0.0,{'0': 2},
19,Min Min,0.0,{'0': 2},
19,Steve,0.0,{'0': 2},
19,Sephiroth,0.0,{'0': 2},
19,Pyra-Mythra,0.0,{'0': 1},
19,Sora,0.0,{'0': 1},
19,Mii Swordsman,0.0,{'0': 1},
19,Link,0.0,{'0': 3},
19,Peach,0.0,{'0': 1},
19,Daisy,0.0,{'0': 1},
19,Zelda,0.0,{'0': 2},
19,Dr Mario,0.0,{'0': 2},
19,Falco,0.0,{'0': 2},
19,Young Link,0.0,{'0': 1},
19,Chrom,0.0,{'0': 2},
19,Meta Knight,0.0,{'0': 2},
19,Dark Pit,0.0,{'0': 3},
19,Olimar,0.0,{'0': 3},
19,ROB,0.0,{'0': 2},
19,Toon Link,0.0,{'0': 2},
19,Rosalina and Luma,0.0,{'0': 3},
19,Palutena,0.0,{'0': 1},
19,Robin,0.0,{'0': 1},
19,Ken,0.0,{'0': 3},
19,Corrin,0.0,{'0': 4},
19,Inkling,0.0,{'0': 3},
19,Ridley,0.0,{'0': 3},
19,Simon,0.0,{'0': 3},
19,Richter,0.0,{'0': 3},
19,Banjo and Kazooie,0.0,{'0': 3},
19,Mii Brawler,0.0,{'0': 3},
19,Mii Gunner,0.0,{'0': 1},
