rank,character,read_value,candidates,correct
1,Incineroar,303.0,{'303': 3},
2,Villager,297.0,{'297': 3},
3,Donkey Kong,293.0,{'293': 3},
4,Mega Man,268.0,{'268': 3},
5,Snake,267.0,{'267': 3},
6,Byleth,261.0,{'261': 3},
7,Kazuya,248.0,{'248': 6},
8,Roy,246.0,{'246': 6},
9,Ganondorf,244.0,{'244': 3},
10,Little Mac,239.0,{'239': 3},
11,Captain Falcon,236.0,{'236': 3},
12,Ike,233.0,{'233': 3},
13,King Dedede,226.0,{'226': 3},
14,Wolf,213.0,{'213': 3},
15,Pyra-Mythra,211.0,"{'211': 2, '2': 1}",
16,Ness,209.0,{'209': 3},
17,King K Rool,206.0,{'206': 3},
18,Terry,204.0,{'204': 3},
19,Kirby,202.0,{'202': 3},
20,Lucas,195.0,{'195': 3},
20,Joker,195.0,{'195': 3},
22,Min Min,193.0,{'193': 3},
23,Marth,191.0,{'191': 3},
24,Bowser,188.0,{'188': 3},
25,Hero,186.0,{'186': 3},
25,Mii Swordsman,186.0,{'186': 3},
27,Samus,183.0,{'183': 3},
27,Bayonetta,183.0,{'183': 3},
29,Ryu,176.0,{'176': 6},
30,Cloud,175.0,{'175': 3},
31,Jigglypuff,174.0,{'174': 3},
31,Pit,174.0,{'174': 3},
33,Yoshi,170.0,{'170': 3},
34,Lucario,167.0,{'167': 3},
34,Wii Fit Trainer,167.0,{'167': 3},
36,Lucina,166.0,{'166': 3},
37,Luigi,163.0,{'163': 3},
38,Pokemon Trainer,162.0,{'162': 3},
39,Mario,158.0,{'158': 3},
39,Steve,158.0,{'158': 3},
41,Mr Game and Watch,153.0,{'153': 3},
42,Shulk,152.0,"{'192': 2, '152': 1}",
43,Ice Climbers,151.0,{'151': 3},
43,Sonic,151.0,{'151': 3},
45,Bowser Jr,149.0,{'149': 3},
46,Pac-Man,148.0,{'148': 3},
47,Wario,146.0,{'146': 3},
48,Sora,145.0,{'145': 3},
49,Dark Samus,143.0,{'143': 3},
50,Mewtwo,140.0,{'140': 3},
50,Zero Suit Samus,140.0,{'140': 6},
52,Piranha Plant,128.0,{'128': 3},
53,Sephiroth,122.0,{'122': 3},
54,Isabelle,120.0,{'120': 3},
55,Pichu,118.0,{'118': 3},
56,Sheik,108.0,{'108': 3},
57,Diddy Kong,106.0,{'106': 3},
58,Duck Hunt,105.0,{'105': 3},
59,Pikachu,103.0,{'103': 3},
60,Greninja,73.0,{'73': 3},
61,Fox,72.0,{'72': 3},
62,Link,0.0,{'0': 2},
62,Peach,0.0,{'0': 2},
62,Daisy,0.0,{'0': 1},
62,Zelda,0.0,{'0': 3},
62,Dr Mario,0.0,{'0': 2},
62,Falco,0.0,{'0': 1},
62,Young Link,0.0,{'0': 2},
62,Chrom,0.0,{'0': 2},
62,Meta Knight,0.0,{'0': 2},
62,Dark Pit,0.0,{'0': 2},
62,Olimar,0.0,{'0': 1},
62,ROB,0.0,{'0': 1},
62,Toon Link,0.0,{'0': 3},
62,Rosalina and Luma,0.0,{'0': 2},
62,Palutena,0.0,{'0': 3},
62,Robin,0.0,{'0': 1},
62,Ken,0.0,{'0': 2},
62,Corrin,0.0,{'0': 3},
62,Inkling,0.0,{'0': 2},
62,Ridley,0.0,{'0': 4},
62,Simon,0.0,{'0': 3},
62,Richter,0.0,{'0': 4},
62,Banjo and Kazooie,0.0,{'0': 3},
62,Mii Brawler,0.0,{'0': 2},
62,Mii Gunner,0.0,{'0': 4},
