rank,character,read_value,candidates,correct
1,Kazuya,4.0,{'4': 3},
2,Ike,3.0,{'3': 3},
2,Wolf,3.0,{'3': 3},
2,Byleth,3.0,{'3': 3},
5,Captain Falcon,2.0,{'2': 3},
5,Ganondorf,2.0,{'2': 3},
7,Donkey Kong,1.0,{'1': 6},
7,Fox,1.0,{'1': 6},
7,Ness,1.0,{'1': 3},
7,Jigglypuff,1.0,{'1': 3},
7,Roy,1.0,{'1': 3},
7,Pokemon Trainer,1.0,{'1': 3},
7,Little Mac,1.0,{'1': 3},
7,Cloud,1.0,{'1': 3},
7,Hero,1.0,{'1': 3},
7,Steve,1.0,{'1': 3},
7,Sora,1.0,{'1': 3},
18,Mario,0.0,{'0': 2},
18,Samus,0.0,{'0': 2},
18,Dark Samus,0.0,{'0': 1},
18,Yoshi,0.0,{'0': 3},
18,Kirby,0.0,{'0': 2},
18,Pikachu,0.0,{'0': 1},
18,Luigi,0.0,{'0': 2},
18,Bowser,0.0,{'0': 1},
18,Ice Climbers,0.0,"{'0': 1, '6': 1}",
18,Sheik,0.0,{'0': 2},
18,Pichu,0.0,{'0': 1},
18,Marth,0.0,{'0': 2},
18,Lucina,0.0,{'0': 1},
18,Mewtwo,0.0,{'0': 2},
18,Mr Game and Watch,0.0,{'0': 3},
18,Pit,0.0,{'0': 1},
18,Zero Suit Samus,0.0,{'0': 2},
18,Wario,0.0,{'0': 1},
18,Snake,0.0,{'0': 1},
18,Diddy Kong,0.0,{'0': 1},
18,Lucas,0.0,{'0': 2},
18,Sonic,0.0,{'0': 1},
18,King Dedede,0.0,{'0': 3},
18,Lucario,0.0,{'0': 1},
18,Villager,0.0,{'0': 2},
18,Wii Fit Trainer,0.0,{'0': 2},
18,Greninja,0.0,{'0': 1},
18,Pac-Man,0.0,{'0': 1},
18,Shulk,0.0,{'0': 1},
18,Bowser Jr,0.0,"{'0': 1, '4': 1}",
18,Duck Hunt,0.0,{'0': 1},
18,Ryu,0.0,{'0': 1},
18,Bayonetta,0.0,{'0': 1},
18,King K Rool,0.0,{'0': 1},
18,Isabelle,0.0,{'0': 2},
18,Incineroar,0.0,{'0': 2},
18,Piranha Plant,0.0,{'0': 2},
18,Joker,0.0,{'0': 2},
18,Terry,0.0,{'0': 2},
18,Min Min,0.0,{'0': 2},
18,Sephiroth,0.0,{'0': 2},
18,Pyra-Mythra,0.0,{'0': 1},
18,Mii Swordsman,0.0,{'0': 2},
18,Link,0.0,{'0': 2},
18,Peach,0.0,{'0': 2},
18,Daisy,0.0,{'0': 2},
18,Zelda,0.0,{'0': 1},
18,Dr Mario,0.0,{'0': 2},
18,Falco,0.0,{'0': 1},
18,Young Link,0.0,{'0': 1},
18,Chrom,0.0,{'0': 3},
18,Meta Knight,0.0,{'0': 2},
18,Dark Pit,0.0,{'0': 1},
18,Olimar,0.0,{'0': 1},
18,ROB,0.0,{'0': 3},
18,Toon Link,0.0,{'0': 2},
18,Rosalina and Luma,0.0,{'0': 2},
18,Palutena,0.0,{'0': 3},
18,Robin,0.0,{'0': 1},
18,Ken,0.0,{'0': 1},
18,Corrin,0.0,{'0': 5},
18,Inkling,0.0,{'0': 4},
18,Ridley,0.0,{'0': 2},
18,Simon,0.0,{'0': 3},
18,Richter,0.0,{'0': 4},
18,Banjo and Kazooie,0.0,{'0': 2},
18,Mii Brawler,0.0,{'0': 3},
18,Mii Gunner,0.0,{'0': 3},
