rank,character,read_value,candidates,correct
1,Mario,100.0,{'100.0': 3},
1,Pikachu,100.0,{'100.0': 3},
1,Marth,100.0,{'100.0': 3},
1,Lucina,100.0,{'100.0': 3},
1,Mewtwo,100.0,{'100.0': 3},
1,Zero Suit Samus,100.0,{'100.0': 3},
1,Greninja,100.0,{'100.0': 6},
1,Bowser Jr,100.0,{'100.0': 6},
1,King K Rool,100.0,{'100.0': 3},
1,Sephiroth,100.0,{'100.0': 3},
11,Mega Man,83.33,{'83.33': 3},
12,Yoshi,80.0,{'80.0': 3},
13,Luigi,75.0,{'75.0': 3},
14,Terry,70.0,{'70.0': 3},
15,Min Min,66.66,{'66.66': 3},
15,Pyra-Mythra,66.66,{'66.66': 3},
17,Donkey Kong,60.0,{'60.0': 3},
17,Ness,60.0,{'60.0': 3},
17,Ganondorf,60.0,{'60.0': 3},
17,Villager,60.0,{'60.0': 3},
21,Kirby,50.0,{'50.0': 3},
21,Bowser,50.0,{'50.0': 3},
21,Pit,50.0,{'50.0': 3},
21,Snake,50.0,{'50.0': 3},
21,Pokemon Trainer,50.0,{'50.0': 3},
21,Wii Fit Trainer,50.0,{'50.0': 3},
21,Cloud,50.0,{'50.0': 3},
21,Incineroar,50.0,{'50.0': 3},
21,Sora,50.0,{'50.0': 3},
30,Captain Falcon,40.0,{'40.0': 3},
30,Roy,40.0,{'40.0': 3},
30,Ike,40.0,{'40.0': 3},
30,Lucas,40.0,{'40.0': 3},
30,Wolf,40.0,{'40.0': 3},
30,Byleth,40.0,{'40.0': 6},
30,Kazuya,40.0,{'40.0': 3},
37,Samus,33.33,{'33.33': 3},
37,Shulk,33.33,{'33.33': 3},
37,Ryu,33.33,{'33.33': 3},
40,Joker,30.0,{'30.0': 3},
40,Steve,30.0,{'30.0': 3},
42,Jigglypuff,20.0,{'20.0': 3},
42,Little Mac,20.0,{'20.0': 3},
42,Mii Swordsman,20.0,{'20.0': 3},
45,King Dedede,12.5,{'12.5': 3},
46,Dark Samus,0.0,{'0.0': 3},
46,Fox,0.0,{'0.0': 3},
46,Ice Climbers,0.0,{'0.0': 3},
46,Sheik,0.0,{'0.0': 3},
46,Pichu,0.0,{'0.0': 3},
46,Mr Game and Watch,0.0,{'0.0': 3},
46,Wario,0.0,{'0.0': 3},
46,Diddy Kong,0.0,{'0.0': 3},
46,Sonic,0.0,{'0.0': 3},
46,Lucario,0.0,{'0.0': 3},
46,Pac-Man,0.0,{'0.0': 3},
46,Duck Hunt,0.0,{'0.0': 3},
46,Bayonetta,0.0,{'0.0': 3},
46,Isabelle,0.0,{'0.0': 3},
46,Piranha Plant,0.0,{'0.0': 3},
46,Link,0.0,{'0.0': 3},
46,Peach,0.0,{'0.0': 3},
46,Daisy,0.0,{'0.0': 3},
46,Zelda,0.0,{'0.0': 3},
46,Dr Mario,0.0,{'0.0': 3},
46,Falco,0.0,{'0.0': 3},
46,Young Link,0.0,{'0.0': 3},
46,Chrom,0.0,{'0.0': 3},
46,Meta Knight,0.0,{'0.0': 3},
46,Dark Pit,0.0,{'0.0': 3},
46,Olimar,0.0,{'0.0': 3},
46,ROB,0.0,{'0.0': 3},
46,Toon Link,0.0,{'0.0': 3},
46,Rosalina and Luma,0.0,{'0.0': 3},
46,Palutena,0.0,{'0.0': 3},
46,Robin,0.0,{'0.0': 3},
46,Ken,0.0,{'0.0': 3},
46,Corrin,0.0,{'0.0': 9},
46,Inkling,0.0,{'0.0': 9},
46,Ridley,0.0,{'0.0': 6},
46,Simon,0.0,{'0.0': 6},
46,Richter,0.0,{'0.0': 6},
46,Banjo and Kazooie,0.0,{'0.0': 6},
46,Mii Brawler,0.0,{'0.0': 6},
46,Mii Gunner,0.0,{'0.0': 6},
