rank,character,read_value,candidates,correct
1,Ganondorf,70.0,{'70': 3},
2,Donkey Kong,66.0,{'66': 3},
3,Captain Falcon,60.0,{'60': 3},
4,Kazuya,56.0,"{'6': 2, '56': 1}",
5,Ness,47.0,{'47': 3},
6,Byleth,39.0,{'39': 3},
7,Ike,28.0,{'28': 6},
8,Little Mac,18.0,{'18': 6},
9,Incineroar,17.0,"{'17': 2, '7': 1}",
10,Villager,16.0,{'16': 3},
11,Wolf,8.0,{'8': 3},
11,Terry,8.0,{'8': 2},
13,Jigglypuff,7.0,{'7': 1},
14,Lucas,6.0,{'6': 3},
15,Yoshi,4.0,{'4': 3},
15,Roy,4.0,{'4': 3},
15,Mega Man,4.0,{'4': 3},
15,Joker,4.0,{'4': 3},
15,Hero,4.0,{'4': 3},
15,Steve,4.0,{'4': 3},
21,Kirby,3.0,{'3': 3},
21,Snake,3.0,{'3': 3},
21,King K Rool,3.0,{'3': 3},
24,Samus,2.0,{'2': 3},
24,Bowser,2.0,{'2': 3},
24,Min Min,2.0,{'2': 3},
24,Sephiroth,2.0,{'2': 3},
24,Pyra-Mythra,2.0,{'2': 3},
29,Pikachu,1.0,{'1': 3},
29,Luigi,1.0,{'1': 3},
29,Marth,1.0,{'1': 3},
29,Lucina,1.0,{'1': 3},
29,Mewtwo,1.0,{'1': 3},
29,Pit,1.0,{'1': 3},
29,Zero Suit Samus,1.0,{'1': 3},
29,Pokemon Trainer,1.0,{'1': 3},
29,King Dedede,1.0,{'1': 3},
29,Greninja,1.0,{'1': 3},
29,Shulk,1.0,{'1': 3},
29,Bowser Jr,1.0,{'1': 3},
29,Cloud,1.0,{'1': 3},
42,Mario,0.0,{'0': 1},
42,Dark Samus,0.0,{'0': 2},
42,Fox,0.0,{'0': 2},
42,Ice Climbers,0.0,{'0': 2},
42,Sheik,0.0,{'0': 2},
42,Pichu,0.0,{'0': 1},
42,Mr Game and Watch,0.0,{'0': 1},
42,Wario,0.0,{'0': 1},
42,Diddy Kong,0.0,{'0': 1},
42,Sonic,0.0,{'0': 1},
42,Lucario,0.0,{'0': 2},
42,Wii Fit Trainer,0.0,{'0': 3},
42,Pac-Man,0.0,{'0': 2},
42,Duck Hunt,0.0,{'0': 2},
42,Ryu,0.0,{'0': 2},
42,Bayonetta,0.0,{'0': 1},
42,Isabelle,0.0,{'0': 2},
42,Piranha Plant,0.0,{'0': 2},
42,Sora,0.0,{'0': 1},
42,Link,0.0,{'0': 2},
42,Peach,0.0,{'0': 1},
42,Daisy,0.0,{'0': 1},
42,Zelda,0.0,{'0': 3},
42,Dr Mario,0.0,{'0': 2},
42,Falco,0.0,{'0': 2},
42,Young Link,0.0,{'0': 1},
42,Chrom,0.0,{'0': 2},
42,Meta Knight,0.0,{'0': 1},
42,Dark Pit,0.0,{'0': 1},
42,Olimar,0.0,{'0': 1},
42,ROB,0.0,{'0': 2},
42,Toon Link,0.0,{'0': 1},
42,Rosalina and Luma,0.0,{'0': 2},
42,Palutena,0.0,{'0': 1},
42,Robin,0.0,{'0': 3},
42,Ken,0.0,{'0': 2},
42,Corrin,0.0,{'0': 4},
42,Inkling,0.0,{'0': 2},
42,Ridley,0.0,{'0': 3},
42,Simon,0.0,{'0': 3},
42,Richter,0.0,{'0': 3},
42,Banjo and Kazooie,0.0,{'0': 3},
42,Mii Brawler,0.0,{'0': 3},
42,Mii Gunner,0.0,{'0': 4},
