rank,character,read_value,candidates,correct
1,Pikachu,100.0,{'100.0': 3},
1,Marth,100.0,{'100.0': 3},
1,Lucina,100.0,{'100.0': 3},
1,Zero Suit Samus,100.0,{'100.0': 3},
1,Greninja,100.0,{'100.0': 3},
1,Bowser Jr,100.0,{'100.0': 3},
1,King K Rool,100.0,{'100.0': 6},
1,Sephiroth,100.0,{'100.0': 6},
9,Yoshi,80.0,{'80.0': 3},
10,Mega Man,66.66,{'66.66': 3},
10,Terry,66.66,{'66.66': 3},
10,Min Min,66.66,{'66.66': 3},
10,Pyra-Mythra,66.66,{'66.66': 3},
14,Mewtwo,50.0,{'50.0': 3},
14,Pit,50.0,{'50.0': 3},
14,Pokemon Trainer,50.0,{'50.0': 3},
17,Captain Falcon,44.0,{'44.0': 3},
18,Ike,42.0,{'42.0': 3},
19,Donkey Kong,38.0,{'38.0': 3},
19,Byleth,38.0,{'38.0': 3},
21,Ness,36.0,{'36.0': 3},
21,Kazuya,36.0,{'36.0': 3},
23,Samus,33.33,{'33.33': 3},
23,Shulk,33.33,{'33.33': 3},
25,Ganondorf,32.0,{'32.0': 3},
25,Villager,32.0,{'32.0': 3},
27,Lucas,31.57,{'31.57': 3},
28,Steve,30.76,{'30.76': 3},
29,Mii Swordsman,28.57,"{'20.57': 2, '28.57': 1}",
30,Roy,26.66,{'26.66': 3},
31,Little Mac,26.0,{'26.0': 3},
32,Kirby,25.0,{'25.0': 3},
32,Luigi,25.0,{'25.0': 3},
32,Bowser,25.0,{'25.0': 3},
32,Cloud,25.0,{'25.0': 6},
36,Wolf,24.24,{'24.24': 3},
37,Joker,23.52,{'23.52': 3},
38,Snake,23.07,{'23.07': 3},
39,Incineroar,22.0,{'22.0': 3},
40,Jigglypuff,19.44,{'19.44': 3},
41,King Dedede,12.5,{'12.5': 3},
42,Mario,0.0,{'0.0': 6},
42,Dark Samus,0.0,{'0.0': 3},
42,Fox,0.0,{'0.0': 3},
42,Ice Climbers,0.0,{'0.0': 3},
42,Sheik,0.0,{'0.0': 3},
42,Pichu,0.0,{'0.0': 3},
42,Mr Game and Watch,0.0,{'0.0': 3},
42,Wario,0.0,{'0.0': 3},
42,Diddy Kong,0.0,{'0.0': 3},
42,Sonic,0.0,{'0.0': 3},
42,Lucario,0.0,{'0.0': 3},
42,Wii Fit Trainer,0.0,{'0.0': 3},
42,Pac-Man,0.0,{'0.0': 3},
42,Duck Hunt,0.0,{'0.0': 3},
42,Ryu,0.0,{'0.0': 3},
42,Isabelle,0.0,{'0.0': 3},
42,Piranha Plant,0.0,{'0.0': 3},
42,Sora,0.0,{'0.0': 3},
42,Link,0.0,{'0.0': 3},
42,Peach,0.0,{'0.0': 3},
42,Daisy,0.0,{'0.0': 3},
42,Zelda,0.0,{'0.0': 3},
42,Dr Mario,0.0,{'0.0': 3},
42,Falco,0.0,{'0.0': 3},
42,Young Link,0.0,{'0.0': 3},
42,Chrom,0.0,{'0.0': 3},
42,Meta Knight,0.0,{'0.0': 3},
42,Dark Pit,0.0,{'0.0': 3},
42,Olimar,0.0,{'0.0': 3},
42,ROB,0.0,{'0.0': 3},
42,Toon Link,0.0,{'0.0': 3},
42,Rosalina and Luma,0.0,{'0.0': 3},
42,Palutena,0.0,{'0.0': 3},
42,Robin,0.0,{'0.0': 3},
42,Ken,0.0,{'0.0': 3},
42,Corrin,0.0,{'0.0': 9},
42,Inkling,0.0,{'0.0': 9},
42,Ridley,0.0,{'0.0': 6},
42,Simon,0.0,{'0.0': 6},
42,Richter,0.0,{'0.0': 6},
42,Banjo and Kazooie,0.0,{'0.0': 6},
42,Mii Brawler,0.0,{'0.0': 6},
42,Mii Gunner,0.0,{'0.0': 6},
